uid,plant_name,city,country,region,sub_region,latitude,longitude,status,plant_type,capacity_p,capacity_1,capacity_n,capacity_s,fuel,certificat,owner_perm,owner_name,owner_lei,owner_sour,parent_per,parent_nam
GPPMIND0137,"Star Paper Mills Ltd, Saharanpur Mill",SAHARANPUR,India,Asia,South Asia,29.957460000000001,77.556329300000002,Operating,Pulp and paper,No information,"75,000", ,https://www.careratings.com/upload/CompanyFiles/PR/202309130954_Star_Paper_Mills_Limited.pdf,No information,No information,No information,Star Paper Mills Ltd,98450082A6F7C6N5E587, ,No information,Star Paper Mills Ltd
GPPMIND0138,Shamli Paper Mills Ltd,SHAMLI,India,Asia,South Asia,29.521828500000002,77.712598000000000,Operating,Paper,N/A,No information, ,No information,No information,No information,No information,Shamli Paper Mills Ltd,No information, ,No information,No information
GPPMIND0139,Sikka Papers Ltd,SHAMLI,India,Asia,South Asia,29.505011300000000,77.363774800000002,Operating,Paper,N/A,No information, ,No information,No information,No information,No information,Sikka Papers Ltd,No information, ,No information,No information
GPPMIND0140,Three Star Paper Mills Ltd,TEHSIL DADRI,India,Asia,South Asia,28.555637999999998,77.554226000000000,Operating,Paper,N/A,No information, ,No information,No information,No information,No information,Star Paper Mills Ltd,98450082A6F7C6N5E587, ,No information,Star Paper Mills Ltd
GPPMIND0141,"BAHL Paper Mills Ltd, Kashipur Plant",KASHIPUR,India,Asia,South Asia,29.153953829999999,78.929522219999996,Operating,Paper,No information,"88,500", ,https://www.paperexim.com/company/bahl-paper-mills-limited/,No information,No information,No information,Bahl Paper Mills Ltd,894500UPD05S2ZWGAB57, ,No information,Bahl Paper Mills Ltd
GPPMIND0142,Straw Board Manufacturing Co Ltd,SAHARANPUR,India,Asia,South Asia,29.716375800000002,77.849860000000007,Operating,Paper and packaging,N/A,No information, , ,No information,No information,No information,Straw Board Manufacturing Co Ltd,No information, ,No information,No information
GPPMIND0144,"Krishna Tissues Private Limited, Burdwan Mill",BURDWAN,India,Asia,South Asia,23.367586700000000,87.898118800000006,Operating,Paper,N/A,No information, ,No information,No information,No information,No information,"Krishna Tissues Private Limited, Burdwan Mill",No information, ,No information,No information
GPPMIND0145,"Supreme Paper Mills Ltd, Chakdaha Mill",CHAKDAHA,India,Asia,South Asia,23.084929599999999,88.497289199999997,Operating,Paper,N/A,No information, ,No information,No information,No information,No information,Supreme Paper Mills Ltd,98450048D739A09B9D98, ,No information,Supreme Paper Mills Ltd
GPPMIND0146,"ITC Limited, PSPC Manufacturing Tribeni Unit",CHANDRAHATI,India,Asia,South Asia,23.048513799999998,88.282610300000002,Operating,Packaging,N/A,"60,000", ,https://www.itcpspd.com/Page/aboutus,No information,ISO,No information,"ITC Limited, PSPC Manufacturing Tribeni Unit",No information, ,No information,No information
GPPMIND0147,"Krishna Tissues Private Limited, Howrah Mill",HOWRAH,India,Asia,South Asia,22.473784100000000,88.018735000000007,Operating,Paper and packaging,N/A,No information, , ,No information,PEFC/42-32-26,No information,"Krishna Tissues Private Limited, Howrah Mill",No information, ,No information,No information
GPPMIND0148,East India Paper & Board Mills,KOLKATA (CALCUTTA),India,Asia,South Asia,22.549348699999999,88.357538800000000,Operating,Paper and packaging,N/A,No information, , ,No information,No information,No information,South India Paper Mills Ltd,8945007AZAC2HAIOI642,http://www.eastindiapaperboard.com/,No information,South India Paper Mills Ltd
GPPMIND0149,Hanuman Chromocoates Limited,KOLKATA (CALCUTTA),India,Asia,South Asia,22.571265499999999,88.345866500000000,Operating,Paper,N/A,No information, ,No information,No information,PEFC/42-31-02,No information,Hanuman Chromocoates Limited,No information, ,No information,No information
GPPMIND0150,Orient Paper & Industries Ltd,KOLKATA (CALCUTTA),India,Asia,South Asia,22.570999000000000,88.351671100000004,Operating,Paper,N/A,No information, ,No information,No information,No information,No information,Orient Paper and Industries Ltd,33580015LGE7MBPWMK58,http://www.orientpaperindia.com/,No information,Orient Paper and Industries Ltd
GPPMIND0151,Star Paper Mills Ltd,KOLKATA (CALCUTTA),India,Asia,South Asia,22.577148000000001,88.348821099999995,Operating,Paper,N/A,No information, ,No information,No information,No information,No information,Star Paper Mills Ltd,98450082A6F7C6N5E587,http://www.starpapers.com/,No information,Star Paper Mills Ltd
GPPMIND0152,Supreme Paper Mills Ltd,KOLKATA (CALCUTTA),India,Asia,South Asia,22.540868499999998,88.370919400000005,Operating,Paper,N/A,No information, ,No information,No information,No information,No information,Supreme Paper Mills Ltd,98450048D739A09B9D98, ,No information,Supreme Paper Mills Ltd
