latitude,longitude,type,brickid
22.635038698125,90.37313282,fcbk,BKB-200
22.884458585625,89.30689416,fcbk,BKB-201
22.392685149375,89.14949649,fcbk,BKB-202
22.5964945571875,89.038933445,fcbk,BKB-203
22.55633142,90.33929489,fcbk,BKB-204
26.0285475865625,88.22290152,fcbk,BKB-205
23.734975633125,89.62543049,fcbk,BKB-206
22.638501419375,89.07679225,fcbk,BKB-207
22.5187655065625,90.366469795,fcbk,BKB-208
22.5613070528125,90.2789226,fcbk,BKB-209
22.500143390625,90.046029635,fcbk,BKB-210
22.8435774540625,90.27033501,fcbk,BKB-211
22.7100130440625,90.393768445,fcbk,BKB-212
22.48113043125,90.316460975,fcbk,BKB-213
22.75564792625,89.03973192,fcbk,BKB-214
22.6237063690625,89.13895421,fcbk,BKB-215
22.4560282175,89.606230575,fcbk,BKB-216
22.929716195625,89.820135645,fcbk,BKB-217
23.1173294375,89.123871265,fcbk,BKB-218
22.6902093059375,90.37756299,fcbk,BKB-219
22.590443725,90.67610788,fcbk,BKB-220
23.777287209375,90.31884536,fcbk,BKB-221
23.7809166859375,90.31725436,fcbk,BKB-222
24.5410337934375,89.06871454,fcbk,BKB-223
23.3218732678125,89.555488835,fcbk,BKB-224
22.9467684109375,90.18169587,fcbk,BKB-225
22.821014656875,89.638977615,fcbk,BKB-226
22.6924758771875,89.16207894,fcbk,BKB-227
23.7229787646875,90.42428132,fcbk,BKB-228
22.5079976609375,89.0324629,fcbk,BKB-229
22.943374283125,90.40624714,fcbk,BKB-230
23.88014498875,90.347427325,fcbk,BKB-231
22.31758368125,89.10445811,fcbk,BKB-232
22.3193256421875,89.104323735,fcbk,BKB-233
22.86038962625,89.35687559,fcbk,BKB-234
22.8169425209375,90.25599868,fcbk,BKB-235
22.5697831709375,89.95720215,fcbk,BKB-236
25.073351379375,90.03484106,fcbk,BKB-237
22.9899323659375,89.623673435,fcbk,BKB-238
22.7069535490625,90.41379505,fcbk,BKB-239
