latitude,longitude,state,brickid
73.6037547568,32.4229384655,Punjab,BKP-488
73.6267291702,30.6595455628,Punjab,BKP-489
73.6205913334,31.6163665591,Punjab,BKP-490
73.6171899174,31.3478154838,Punjab,BKP-491
73.6195426479,31.2396416406,Punjab,BKP-492
73.6208781433,31.2375685286,Punjab,BKP-493
73.6218453294,31.5914189115,Punjab,BKP-494
73.4621910087,32.3562248856,Punjab,BKP-495
73.4544184785,32.3473636613,Punjab,BKP-496
73.4603069064,32.5588254956,Punjab,BKP-497
73.4531185126,32.3236858555,Punjab,BKP-498
73.4602174491,32.5802559296,Punjab,BKP-499
73.4533163147,32.5786130492,Punjab,BKP-500
73.4599855205,32.5786369205,Punjab,BKP-501
73.6268132061,31.5871299873,Punjab,BKP-502
73.453123325,30.7038132567,Punjab,BKP-503
73.4691568579,33.3172601523,Punjab,BKP-504
73.4690748378,33.3173909939,Punjab,BKP-505
73.4651222506,33.1539874437,Punjab,BKP-506
73.4645260959,33.3138589815,Punjab,BKP-507
73.4614427512,30.7629111092,Punjab,BKP-508
73.4593177518,30.7628345451,Punjab,BKP-509
73.460271348,33.1430279972,Punjab,BKP-510
73.4600018535,33.140602546,Punjab,BKP-511
73.4730437581,32.5938837808,Punjab,BKP-512
73.4725860789,32.5514424669,Punjab,BKP-513
73.4689176327,32.5760394623,Punjab,BKP-514
73.4652794558,32.575225364,Punjab,BKP-515
73.4716799522,32.571040712,Punjab,BKP-516
73.4716518798,32.569234724,Punjab,BKP-517
73.4646231865,32.581326422,Punjab,BKP-518
73.4730519246,32.7617870739,Punjab,BKP-519
73.46714346,32.2725155712,Punjab,BKP-520
73.4825495671,30.3998426141,Punjab,BKP-521
73.4794784517,31.87186134,Punjab,BKP-522
73.4755921152,31.5908963915,Punjab,BKP-523
73.4717697837,30.3679973373,Punjab,BKP-524
73.4667392181,30.4362243831,Punjab,BKP-525
73.4751881097,32.6185182508,Punjab,BKP-526
73.4651222506,30.5251575963,Punjab,BKP-527
