source_id,iso3_count,original_i,temporal_g,gas,emissions_,emission_1,emission_2,capacity_f,source_nam,lat,lon,other2,other3,other4,other5,other6,other2_def,other3_def,other4_def,other5_def,other6_def,geometry_r
"3143739",BGD,oil-and-gas-refining,annual,co2,263678.7221,31.06352068,T of CO2 per barrel refined,0.581395349,Bashundhara Oil and Gas Company Refinery,23.668397,90.442809,206.0768691,31.52413964,2.74e-05,0.001432568,6509.47143,acidification,particulate matter formation,human health cancer,human health non-cancer,ecotoxicity,trace_90.442809_23.668397
"3143739",BGD,oil-and-gas-refining,annual,co2,295320.1687,31.06352068,T of CO2 per barrel refined,0.651162791,Bashundhara Oil and Gas Company Refinery,23.668397,90.442809,230.8060934,35.3070364,3.07e-05,0.001604477,7290.608001,acidification,particulate matter formation,human health cancer,human health non-cancer,ecotoxicity,trace_90.442809_23.668397
"3143916",IND,oil-and-gas-refining,annual,co2e_20yr,2697354.514,0.000297083,,1.007333994,IOCL Panipat Refinery,29.47308,76.87831,2132.678396,325.9767837,0.000283821,0.014871164,67648.19356,acidification,particulate matter formation,human health cancer,human health non-cancer,ecotoxicity,trace_76.87831_29.47308
"3143916",IND,oil-and-gas-refining,annual,co2e_100yr,2697329.727,0.000297083,,1.007333994,IOCL Panipat Refinery,29.47308,76.87831,2132.678396,325.9767837,0.000283821,0.014871164,67648.19356,acidification,particulate matter formation,human health cancer,human health non-cancer,ecotoxicity,trace_76.87831_29.47308
"3143916",IND,oil-and-gas-refining,annual,n2o,26.21530307,0.000297083,T of N2O per barrel refined,1.007333994,IOCL Panipat Refinery,29.47308,76.87831,2132.678396,325.9767837,0.000283821,0.014871164,67648.19356,acidification,particulate matter formation,human health cancer,human health non-cancer,ecotoxicity,trace_76.87831_29.47308
"3143916",IND,oil-and-gas-refining,annual,ch4,133.9598518,0.001518088,T of CH4 per barrel refined,1.007333994,IOCL Panipat Refinery,29.47308,76.87831,2132.678396,325.9767837,0.000283821,0.014871164,67648.19356,acidification,particulate matter formation,human health cancer,human health non-cancer,ecotoxicity,trace_76.87831_29.47308
"3143916",IND,oil-and-gas-refining,annual,co2,2667578.455,30.23010146,T of CO2 per barrel refined,1.007333994,IOCL Panipat Refinery,29.47308,76.87831,2132.678396,325.9767837,0.000283821,0.014871164,67648.19356,acidification,particulate matter formation,human health cancer,human health non-cancer,ecotoxicity,trace_76.87831_29.47308
"3143916",IND,oil-and-gas-refining,annual,co2,2754083.164,30.23010146,T of CO2 per barrel refined,1.04,IOCL Panipat Refinery,29.47308,76.87831,2201.83727,336.5476168,0.000293025,0.015353409,69841.90121,acidification,particulate matter formation,human health cancer,human health non-cancer,ecotoxicity,trace_76.87831_29.47308
"3143916",IND,oil-and-gas-refining,annual,co2e_20yr,2784824.806,0.000297083,,1.04,IOCL Panipat Refinery,29.47308,76.87831,2201.83727,336.5476168,0.000293025,0.015353409,69841.90121,acidification,particulate matter formation,human health cancer,human health non-cancer,ecotoxicity,trace_76.87831_29.47308
"3143916",IND,oil-and-gas-refining,annual,co2e_100yr,2784799.215,0.000297083,,1.04,IOCL Panipat Refinery,29.47308,76.87831,2201.83727,336.5476168,0.000293025,0.015353409,69841.90121,acidification,particulate matter formation,human health cancer,human health non-cancer,ecotoxicity,trace_76.87831_29.47308
"3143916",IND,oil-and-gas-refining,annual,n2o,27.06541758,0.000297083,T of N2O per barrel refined,1.04,IOCL Panipat Refinery,29.47308,76.87831,2201.83727,336.5476168,0.000293025,0.015353409,69841.90121,acidification,particulate matter formation,human health cancer,human health non-cancer,ecotoxicity,trace_76.87831_29.47308
"3143916",IND,oil-and-gas-refining,annual,ch4,138.3039257,0.001518088,T of CH4 per barrel refined,1.04,IOCL Panipat Refinery,29.47308,76.87831,2201.83727,336.5476168,0.000293025,0.015353409,69841.90121,acidification,particulate matter formation,human health cancer,human health non-cancer,ecotoxicity,trace_76.87831_29.47308
"3143916",IND,oil-and-gas-refining,annual,co2e_20yr,2803568.819,0.000297083,,1.047,IOCL Panipat Refinery,29.47308,76.87831,2216.657329,338.8128411,0.000294997,0.015456749,70311.99093,acidification,particulate matter formation,human health cancer,human health non-cancer,ecotoxicity,trace_76.87831_29.47308
"3143916",IND,oil-and-gas-refining,annual,co2,2772620.262,30.23010146,T of CO2 per barrel refined,1.047,IOCL Panipat Refinery,29.47308,76.87831,2216.657329,338.8128411,0.000294997,0.015456749,70311.99093,acidification,particulate matter formation,human health cancer,human health non-cancer,ecotoxicity,trace_76.87831_29.47308
"3143916",IND,oil-and-gas-refining,annual,ch4,139.2348175,0.001518088,T of CH4 per barrel refined,1.047,IOCL Panipat Refinery,29.47308,76.87831,2216.657329,338.8128411,0.000294997,0.015456749,70311.99093,acidification,particulate matter formation,human health cancer,human health non-cancer,ecotoxicity,trace_76.87831_29.47308
"3143916",IND,oil-and-gas-refining,annual,n2o,27.24758866,0.000297083,T of N2O per barrel refined,1.047,IOCL Panipat Refinery,29.47308,76.87831,2216.657329,338.8128411,0.000294997,0.015456749,70311.99093,acidification,particulate matter formation,human health cancer,human health non-cancer,ecotoxicity,trace_76.87831_29.47308
"3143916",IND,oil-and-gas-refining,annual,co2e_100yr,2803543.056,0.000297083,,1.047,IOCL Panipat Refinery,29.47308,76.87831,2216.657329,338.8128411,0.000294997,0.015456749,70311.99093,acidification,particulate matter formation,human health cancer,human health non-cancer,ecotoxicity,trace_76.87831_29.47308
"3143916",IND,oil-and-gas-refining,annual,n2o,24.91690637,0.000297083,T of N2O per barrel refined,0.957442557,IOCL Panipat Refinery,29.47308,76.87831,2027.05068,309.8317413,0.000269764,0.014134622,64297.70049,acidification,particulate matter formation,human health cancer,human health non-cancer,ecotoxicity,trace_76.87831_29.47308
"3143916",IND,oil-and-gas-refining,annual,co2e_100yr,2563735.848,0.000297083,,0.957442557,IOCL Panipat Refinery,29.47308,76.87831,2027.05068,309.8317413,0.000269764,0.014134622,64297.70049,acidification,particulate matter formation,human health cancer,human health non-cancer,ecotoxicity,trace_76.87831_29.47308
"3143916",IND,oil-and-gas-refining,annual,co2e_20yr,2563759.408,0.000297083,,0.957442557,IOCL Panipat Refinery,29.47308,76.87831,2027.05068,309.8317413,0.000269764,0.014134622,64297.70049,acidification,particulate matter formation,human health cancer,human health non-cancer,ecotoxicity,trace_76.87831_29.47308
"3143916",IND,oil-and-gas-refining,annual,ch4,127.3250618,0.001518088,T of CH4 per barrel refined,0.957442557,IOCL Panipat Refinery,29.47308,76.87831,2027.05068,309.8317413,0.000269764,0.014134622,64297.70049,acidification,particulate matter formation,human health cancer,human health non-cancer,ecotoxicity,trace_76.87831_29.47308
