plnt_nm,country,cap_all,ttl_cp_,stts_ll,units,status,prod_kw,nx_tn_y,sx_tn_y,p10_tn_,p25_tn_,long,lat
Thar Block I power station,Pakistan,"660, 660",1320,"operating, operating",2,operating,11563200000,49721.76,83255.04,4278.384,2197.008,70.3024933,24.7108029
Thar Block II power station,Pakistan,"330, 330",660,"operating, operating",2,operating,5781600000,24860.88,41627.52,2139.192,1098.504,70.394069,24.8124812
Thar Block VI power station,Pakistan,"700, 700",1400,"pre-permit, pre-permit",2,pre-permit,12264000000,52735.2,88300.8,4537.68,2330.16,70.3150749,24.8408017
Thar Energy Limited power station,Pakistan,330,330,operating,1,operating,2890800000,12430.44,20813.76,1069.596,549.252,70.4005007,24.8062135
Master Power Plant,Pakistan,0,0,operating,0, operating,0,0,0,0,0,74.17973657,31.26878487
Sheikhupura power station,Pakistan,31.5,31.5,construction,1,construction,0,0,0,0,0,74.1808,31.6526
Sapphire Power Plant ,Pakistan,0,0,operating,,operating,,,,,,74.03534412,31.76241512
Nestle Power Plant,Pakistan,0,0,operating,,operating,,,,,,74.07641003,31.6884929
Bin Ajmal Rice Processing Mills,Pakistan,0,0,operating,,operating,,,,,,74.08766862,31.77556433
Faisalabad Sitara Chemical power plant,Pakistan,"40,40",80,operating,2,operating,,,,,,73.38822,31.52292
Gwadar power station,Pakistan,"150, 150",300,permitted,2,permitted,,,,,,62.3519,25.2052
Maple Leaf power station,Pakistan,40,40,operating,1,operating,,,,,,71.61064,32.90467
