level,id,name0,name1,name,population,pm2023,population_weighted_exposure,normalised_exposure
2,17469,India,Haryana,Hisar,2024434,53.1,0.07689258,0.064592547
2,17470,India,Haryana,Jhajjar,1169709,71.45,0.059781437,0.050218569
2,17471,India,Haryana,Jind,1582659,55.64,0.062988427,0.052912556
2,17472,India,Haryana,Kaithal,1284288,50.32,0.046226323,0.038831782
2,17473,India,Haryana,Karnal,1741725,54.19,0.06751263,0.05671305
2,17474,India,Haryana,Kurukshetra,1335378,49.51,0.047291537,0.039726601
2,17475,India,Haryana,Mahendragarh,1087916,46.8,0.036418957,0.030593241
2,17476,India,Haryana,Mewat,1260988,58.46,0.052729791,0.044294931
2,17477,India,Haryana,Palwal,910733,64.65,0.042115881,0.035378863
2,17478,India,Haryana,Panchkula,637800,41.36,0.018869106,0.015850732
2,17479,India,Haryana,Panipat,1412589,61.86,0.062504606,0.052506129
2,17480,India,Haryana,Rewari,928438,56.76,0.037694812,0.031665005
2,17481,India,Haryana,Rohtak,1238140,68.64,0.060790164,0.051065936
2,17482,India,Haryana,Sirsa,1517578,46.01,0.049944715,0.041955367
2,17483,India,Haryana,Sonipat,1704015,73.53,0.089623989,0.075287391
2,17484,India,Haryana,Yamunanagar,1139851,53,0.043212585,0.036300133
2,17485,India,Himachal Pradesh,Bilaspur,422791,24.87,0.007521212,0.00631809
2,17486,India,Himachal Pradesh,Chamba,576924,21.62,0.008921966,0.007494774
2,17487,India,Himachal Pradesh,Hamirpur,508537,23.31,0.008479127,0.007122773
2,17488,India,Himachal Pradesh,Kangra,1706283,24.25,0.029597096,0.02486263
2,17489,India,Himachal Pradesh,Kinnaur,94923,19.76,0.001341667,0.001127049
2,17490,India,Himachal Pradesh,Kullu,507288,22.46,0.008149869,0.006846185
2,17491,India,Himachal Pradesh,Lahul & Spiti,35197,17.58,0.000442599,0.000371799
2,17492,India,Himachal Pradesh,Mandi,1112346,22.24,0.017695424,0.014864796
2,17493,India,Himachal Pradesh,Shimla,931418,22.53,0.015010395,0.012609274
2,17494,India,Himachal Pradesh,Sirmaur,588044,29.97,0.012606161,0.010589631
2,17495,India,Himachal Pradesh,Solan,671631,28.56,0.013720667,0.011525856
2,17496,India,Himachal Pradesh,Una,547760,29.54,0.011574096,0.009722659
2,17497,India,Jammu and Kashmir,Anantnag,1264274,16.31,0.014749641,0.012390232
2,17498,India,Jammu and Kashmir,Badgam,642785,19.78,0.009094489,0.0076397
2,17499,India,Jammu and Kashmir,Bandipore,331299,15.8,0.003744238,0.003145296
2,17500,India,Jammu and Kashmir,Baramulla,1062264,19.04,0.01446724,0.012153005
2,17501,India,Jammu and Kashmir,Doda,530428,20.36,0.007724858,0.00648916
2,17502,India,Jammu and Kashmir,Ganderbal,652870,15.71,0.007336504,0.006162929
2,17503,India,Jammu and Kashmir,Jammu,1716373,32.46,0.039851666,0.03347684
2,17504,India,Jammu and Kashmir,Kathua,817186,29.72,0.017372248,0.014593316
2,17505,India,Jammu and Kashmir,Kishtwar,263425,17.32,0.003263557,0.002741506
2,17506,India,Jammu and Kashmir,Kulgam,540899,17.78,0.006879141,0.005778727
2,17507,India,Jammu and Kashmir,Kupwara,1039549,17.87,0.013287883,0.011162302
2,17508,India,Jammu and Kashmir,Poonch,559504,21.14,0.00846047,0.0071071
2,17509,India,Jammu and Kashmir,Pulwama,739172,17.21,0.009099398,0.007643823
2,17510,India,Jammu and Kashmir,Rajouri,786530,21.63,0.01216909,0.010222476
2,17511,India,Jammu and Kashmir,Ramban,286705,18.69,0.00383293,0.0032198
2,17512,India,Jammu and Kashmir,Reasi,339850,20.81,0.005058778,0.004249557
2,17513,India,Jammu and Kashmir,Samba,442278,31.22,0.009876761,0.008296836
2,17514,India,Jammu and Kashmir,Shupiyan,505624,18.38,0.006647517,0.005584155
2,17515,India,Jammu and Kashmir,Srinagar,1503778,18.62,0.020028558,0.016824713
2,17516,India,Jammu and Kashmir,Udhampur,684394,22.3,0.01091685,0.009170549
2,17517,India,Jharkhand,Bokaro,2501355,49.85,0.089192181,0.074924657
2,17518,India,Jharkhand,Chatra,1223971,34.27,0.030003472,0.025204002
2,17519,India,Jharkhand,Deoghar,1769020,37.82,0.047856458,0.040201155
2,17520,India,Jharkhand,Dhanbad,3165960,49.4,0.111871294,0.093975932
2,17521,India,Jharkhand,Dumka,1590599,35.16,0.040003304,0.033604222
2,17522,India,Jharkhand,Garhwa,1570431,32.92,0.036979835,0.031064399
2,17523,India,Jharkhand,Giridih,2885251,38.38,0.07920906,0.066538474
2,17524,India,Jharkhand,Godda,1568538,44.22,0.049613523,0.041677154
2,17525,India,Jharkhand,Gumla,1215338,34.73,0.03019174,0.025362154
2,17526,India,Jharkhand,Hazaribagh,2437718,37.17,0.064813028,0.054445287
2,17527,India,Jharkhand,Jamtara,929428,40.71,0.027064695,0.022735323
2,17528,India,Jharkhand,Khunti,645765,41.93,0.019368039,0.016269853
2,17529,India,Jharkhand,Kodarma,497330,38.24,0.013603443,0.011427384
2,17530,India,Jharkhand,Latehar,868464,32.77,0.020357036,0.017100647
2,17531,India,Jharkhand,Lohardaga,544156,34.31,0.013354586,0.011218335
2,17532,India,Jharkhand,Pakur,1045315,41.35,0.030917829,0.025972094
2,17533,India,Jharkhand,Palamu,2304018,34.73,0.05723701,0.048081158
2,17534,India,Jharkhand,Pashchimi Singhbhum,1775737,46.3,0.058809288,0.049401928
2,17535,India,Jharkhand,Purbi Singhbhum,2756055,52.84,0.104168636,0.087505421
2,17536,India,Jharkhand,Ramgarh,1116712,46.79,0.037374941,0.031396302
2,17537,India,Jharkhand,Ranchi,3421681,42.6,0.104264246,0.087585736
2,17538,India,Jharkhand,Sahibganj,1393642,47.92,0.047769899,0.040128442
2,17539,India,Jharkhand,Saraikela-kharsawan,1233716,51.44,0.045394417,0.038132952
2,17540,India,Jharkhand,Simdega,712478,39.03,0.019890985,0.016709147
2,17541,India,Karnataka,Bagalkot,2158042,21.6,0.033342636,0.02800902
2,17542,India,Karnataka,Ballari,2790394,21.9,0.043711522,0.036719259
2,17543,India,Karnataka,Bangalore,10939582,26.21,0.205094511,0.172286805
2,17544,India,Karnataka,Bangalore Rural,1164295,19.04,0.015856826,0.013320307
2,17545,India,Karnataka,Belgaum,5442932,23.72,0.092349358,0.0775768
2,17546,India,Karnataka,Bidar,1936541,25.01,0.034643892,0.029102122
2,17547,India,Karnataka,Chamrajnagar,1164465,16.79,0.013985031,0.011747931
2,17548,India,Karnataka,Chikballapur,1440477,18.78,0.019350322,0.01625497
2,17549,India,Karnataka,Chikmagalur,1292286,16.23,0.015002494,0.012602637
2,17550,India,Karnataka,Chitradurga,1890879,17.94,0.024264563,0.02038311
2,17551,India,Karnataka,Dakshina Kannada,2380703,20.45,0.034824494,0.029253834
2,17552,India,Karnataka,Davanagere,2441634,18.17,0.031733778,0.026657521
2,17553,India,Karnataka,Dharwad,2109253,19.76,0.029812741,0.02504378
2,17554,India,Karnataka,Gadag,1210466,19.26,0.016676126,0.014008549
2,17555,India,Karnataka,Hassan,2024728,16.06,0.023259401,0.019538737
2,17556,India,Karnataka,Haveri,1815629,17.48,0.022701514,0.019070093
2,17557,India,Karnataka,Kalaburagi,2932081,26.31,0.055180178,0.046353345
2,17558,India,Karnataka,Kodagu,622634,14.64,0.006520189,0.005477195
2,17559,India,Karnataka,Kolar,1775325,19.14,0.024305586,0.020417571
2,17560,India,Karnataka,Koppal,1588852,21.18,0.024071086,0.020220583
2,17561,India,Karnataka,Mandya,2061614,19.85,0.029272118,0.024589638
2,17562,India,Karnataka,Mysore,3398516,17.01,0.04135042,0.034735848
2,17563,India,Karnataka,Raichur,2206736,23.22,0.036652102,0.030789091
2,17564,India,Karnataka,Ramanagara,1226376,20.57,0.018044474,0.01515801
2,17565,India,Karnataka,Shivamogga,1766603,17.25,0.021797885,0.018311011
2,17566,India,Karnataka,Tumakuru,3060835,19.13,0.041883327,0.035183509
2,17567,India,Karnataka,Udupi,1331377,21.17,0.02016082,0.016935818
2,17568,India,Karnataka,Uttara Kannada,1629697,22.12,0.025785661,0.021660888
2,17569,India,Karnataka,Vijayapura,2464984,24.04,0.042387212,0.035606791
2,17570,India,Karnataka,Yadgir,1325692,23.1,0.021904881,0.018400892
2,17571,India,Kerala,Alappuzha,2165337,19.12,0.029614177,0.02487698
2,17572,India,Kerala,Ernakulam,3410959,23.77,0.057995189,0.048718056
2,17573,India,Kerala,Idukki,1190713,14,0.011923985,0.010016578
2,17574,India,Kerala,Kannur,2493592,20.48,0.036529324,0.030685953
2,17575,India,Kerala,Kasaragod,1350963,19.46,0.018804967,0.015796852
2,17576,India,Kerala,Kollam,2758470,15.05,0.029695528,0.024945317
2,17577,India,Kerala,Kottayam,2072733,18.76,0.027813938,0.023364714
2,17578,India,Kerala,Kozhikode,3212175,21.89,0.050295745,0.042250245
2,17579,India,Kerala,Malappuram,4279946,18.5,0.056636487,0.047576697
2,17580,India,Kerala,Palakkad,3106475,15.82,0.035152857,0.029529671
2,17581,India,Kerala,Pathanamthitta,1363324,14.96,0.014588712,0.012255046
2,17582,India,Kerala,Thiruvananthapuram,3362591,17,0.04088926,0.034348457
2,17583,India,Kerala,Thrissur,3204125,18.37,0.04210221,0.035367379
2,17584,India,Kerala,Wayanad,867322,13.14,0.00815196,0.006847941
2,17585,India,Ladakh,Kargil,156872,10.69,0.001199525,0.001007645
2,17586,India,Ladakh,Leh (Ladakh),171744,5.14,0.000631438,0.000530431
2,17587,India,Lakshadweep,Lakshadweep,51019,19.56,0.000713817,0.000599632
2,17588,India,Madhya Pradesh,Agar Malwa,770272,34.43,0.018970004,0.015935489
2,17589,India,Madhya Pradesh,Alirajpur,847401,26.96,0.016341622,0.013727553
2,17590,India,Madhya Pradesh,Anuppur,554889,32.92,0.013066288,0.010976154
2,17591,India,Madhya Pradesh,Ashoknagar,1000299,35.56,0.02544356,0.02137351
2,17592,India,Madhya Pradesh,Balaghat,1995388,39.84,0.05686342,0.047767329
2,17593,India,Madhya Pradesh,Barwani,1622142,36.48,0.042328218,0.035557234
2,17594,India,Madhya Pradesh,Betul,1844440,30.9,0.040767051,0.034245797
2,17595,India,Madhya Pradesh,Bhind,2003871,59.23,0.084898063,0.071317442
2,17596,India,Madhya Pradesh,Bhopal,2774766,42.56,0.084472291,0.070959778
2,17597,India,Madhya Pradesh,Burhanpur,885530,37.71,0.023886147,0.020065227
2,17598,India,Madhya Pradesh,Chhatarpur,2081688,34.22,0.050954428,0.042803562
2,17599,India,Madhya Pradesh,Chhindwara,2452466,31.19,0.05471478,0.045962394
2,17600,India,Madhya Pradesh,Damoh,1493380,30.2,0.03225994,0.027099516
2,17601,India,Madhya Pradesh,Datia,1045657,49.08,0.036709637,0.030837422
2,17602,India,Madhya Pradesh,Dewas,1823414,34.65,0.045193379,0.037964072
2,17603,India,Madhya Pradesh,Dhar,2554545,36.83,0.067297908,0.056532676
2,17604,India,Madhya Pradesh,Dindori,878480,30.52,0.019177973,0.01611019
2,17605,India,Madhya Pradesh,East Nimar,1535735,36.82,0.040447004,0.033976946
2,17606,India,Madhya Pradesh,Guna,1452153,34.92,0.036272117,0.030469889
2,17607,India,Madhya Pradesh,Gwalior,2233471,51.07,0.08158916,0.068537845
2,17608,India,Madhya Pradesh,Harda,682261,37.12,0.01811527,0.015217481
