city,state,country,iso3,country_code,region,sub_region,latitude,longitude,accuracy,status,plant_type,primary_production_type,primary_product,capacity,capacity_source,year
Raipur,Chhattisgarh,India,IND,356,Asia,Southern Asia,21.304240000000000,81.637586999999996,Exact,Operating,,,,,,
Raipur,Chhattisgarh,India,IND,356,Asia,Southern Asia,21.367097000000001,81.679981999999995,Exact,Operating,,,,,,
Jaladihi,Odisha,India,IND,356,Asia,Southern Asia,21.683444999999999,85.435233999999994,Exact,Operating,,,,,,
Aharaposi,Odisha,India,IND,356,Asia,Southern Asia,21.801655000000000,85.567218999999994,Exact,Operating,,,,,,
Godhi,Chhattisgarh,India,IND,356,Asia,Southern Asia,21.887550999999998,82.053273000000004,Exact,Operating,,,,,,
Palej,Gujarat,India,IND,356,Asia,Southern Asia,21.926573000000001,73.077461000000000,Exact,Operating,,,,,,
Wardha,Maharashtra,India,IND,356,Asia,Southern Asia,20.696142999999999,78.638879000000003,Exact,Operating,,,,,,
Deoli,Maharashtra,India,IND,356,Asia,Southern Asia,20.661602999999999,78.492357999999996,Exact,Operating,,,,,,
Jamshedpur,Jharkhand,India,IND,356,Asia,Southern Asia,22.811793999999999,86.085472999999993,Exact,Operating,,,,,,
Jamshedpur,Jharkhand,India,IND,356,Asia,Southern Asia,22.795251000000000,86.234198000000006,Exact,Operating,,,,,,
Jamshedpur,Jharkhand,India,IND,356,Asia,Southern Asia,22.795363999999999,86.134011999999998,Exact,Operating,,,,,,
Kolkata,West Bengal,India,IND,356,Asia,Southern Asia,22.715727999999999,88.372253000000001,Exact,Operating,,,,,,
Dhar,Madhya Pradesh,India,IND,356,Asia,Southern Asia,22.640847000000001,75.598236999999997,Exact,Operating,,,,,,
Howrah,West Bengal,India,IND,356,Asia,Southern Asia,22.635024000000001,88.337701999999993,Exact,Operating,,,,,,
Khopoli,Maharashtra,India,IND,356,Asia,Southern Asia,18.792528000000001,73.350359999999995,Exact,Operating,,,,,,
Bhusugaon,Odisha,India,IND,356,Asia,Southern Asia,22.048656999999999,85.365032999999997,Exact,Operating,,,,,,
Janjgir-Champa,Chhattisgarh,India,IND,356,Asia,Southern Asia,22.004135999999999,82.671233000000001,Exact,Operating,,,,,,
Boisar,Maharashtra,India,IND,356,Asia,Southern Asia,19.788492999999999,72.744647999999998,Exact,Operating,,,,,,
Jalna,Maharashtra,India,IND,356,Asia,Southern Asia,19.850235999999999,75.855731000000006,Exact,Operating,,,,,,
Ghugus,Maharashtra,India,IND,356,Asia,Southern Asia,19.930468999999999,79.120067000000006,Exact,Operating,,,,,,
Bawal,Haryana,India,IND,356,Asia,Southern Asia,28.097508000000001,76.582409999999996,Exact,Operating,,,,,,
Khopoli,Maharashtra,India,IND,356,Asia,Southern Asia,18.803308999999999,73.339889999999997,Exact,Operating,,,,,,
Asoda Todran,Haryana,India,IND,356,Asia,Southern Asia,28.734515999999999,76.842644000000007,Exact,Operating,,,,,,
Fatehgarh Sahib,Punjab,India,IND,356,Asia,Southern Asia,30.651464000000001,76.317017000000007,Exact,Operating,,,,,,
Ludhiana,Punjab,India,IND,356,Asia,Southern Asia,30.845731000000001,75.960442000000000,Exact,Operating,,,,,,
Ludhiana,Punjab,India,IND,356,Asia,Southern Asia,30.885415999999999,75.897013000000001,Exact,Operating,,,,,,
Ludhiana,Punjab,India,IND,356,Asia,Southern Asia,30.887595000000001,75.907098000000005,Exact,Operating,,,,,,
Karachi,Sindh,Pakistan,PAK,586,Asia,Southern Asia,24.794878000000001,67.353326999999993,Exact,Operating,DRI,DRI,Iron,1.280000000000000,http://tuwairqi.com.pk/new/,1977
Dhabeji,Sindh,Pakistan,PAK,586,Asia,Southern Asia,24.800325999999998,67.504851000000002,Exact,Operating,Mini-Mill,IF,Crude Steel,0.600000000000000,https://www.amrelisteels.com/pdf/Amreli-Steels-Annual-Report-2019.pdf,1987
Karachi,Sindh,Pakistan,PAK,586,Asia,Southern Asia,24.840713000000001,67.347380000000001,Exact,Operating,Downstream,Rolling,Finished Products,0.700000000000000,https://www.aishasteel.com,2012
Karachi,Sindh,Pakistan,PAK,586,Asia,Southern Asia,24.837855000000001,67.231431000000001,Exact,Operating,Downstream,Rolling,Finished Products,1.000000000000000,http://www.iil.com.pk/company/companyhistory,1966
Lahore,Punjab,Pakistan,PAK,586,Asia,Southern Asia,31.610191000000000,74.362307999999999,Exact,Operating,,,,,,1975
Kasur,Punjab,Pakistan,PAK,586,Asia,Southern Asia,31.258773999999999,74.132857999999999,Exact,Operating,Downstream,Rolling,Finished Products,0.120000000000000,https://www.investorslounge.com/research/reports/277887,2006
Karachi,Sindh,Pakistan,PAK,586,Asia,Southern Asia,24.805135000000000,67.346693999999999,Exact,Operating,Integrated,BF,Crude Steel,1.100000000000000,http://www.steelmelters.com/pakistan.htm,1981
Karachi,Sindh,Pakistan,PAK,586,Asia,Southern Asia,24.965850000000000,67.022604000000001,Exact,Operating,Mini-Mill,EAF,Crude Steel,0.070000000000000,http://www.psmltd.com/product-facility.html,1975
Winder,Balochistan,Pakistan,PAK,586,Asia,Southern Asia,25.382244000000000,66.676192000000000,Exact,Operating,Downstream,Rolling,Finished Products,0.200000000000000,https://www.siddiqsonstinplate.com/index.php/group-profile/,1999
