id,lat,lon,type,fuel,state,country,status,capacity_tonnes,emfpm10,pm10_t_yr,emfpm25,pm25_t_yr,emfso2,so2_t_yr,emfnox,Nox_t_yr
BKB-79,22.53865794,89.19401305,FCBK,biomass,Khulna,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-80,22.43223488,89.87438103,FCBK,biomass,Khulna,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-81,22.8275417,89.64334254,FCBK,biomass,Khulna,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-82,22.5565116,89.95764918,FCBK,biomass,Barisal,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-83,23.78343738,88.74163984,FCBK,biomass,Khulna,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-84,23.5214233,89.49425018,FCBK,biomass,Khulna,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-85,22.92298823,90.40345572,FCBK,biomass,Barisal,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-86,22.89355238,89.43804972,FCBK,biomass,Khulna,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-87,23.79061526,90.44248264,FCBK,biomass,Dhaka,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-88,22.40405289,89.91195869,FCBK,biomass,Barisal,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-89,22.39986467,89.90674494,FCBK,biomass,Barisal,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-90,23.7922724,90.31573022,FCBK,biomass,Dhaka,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-91,23.67363609,88.60548116,FCBK,biomass,Khulna,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-92,23.81318288,90.40870148,FCBK,biomass,Dhaka,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-93,23.81075872,88.92060757,FCBK,biomass,Khulna,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-94,22.9833644,89.60684399,FCBK,biomass,Khulna,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-95,22.82551693,90.29474921,FCBK,biomass,Barisal,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-96,23.39193523,89.58566348,FCBK,biomass,Khulna,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-97,22.45357025,90.1687958,FCBK,biomass,Barisal,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-98,22.83224863,89.96289223,FCBK,biomass,Barisal,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-99,23.11228923,89.6451214,FCBK,biomass,Khulna,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-100,22.97051873,90.50487983,FCBK,biomass,Barisal,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-101,22.45730983,89.58555223,FCBK,biomass,Khulna,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-102,22.50683217,90.40843273,FCBK,biomass,Barisal,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-103,23.18443592,89.59571455,FCBK,biomass,Khulna,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-104,22.93606886,90.49632698,FCBK,biomass,Barisal,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-105,22.93775917,90.49724073,FCBK,biomass,Barisal,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-106,22.44766558,90.44697525,FCBK,biomass,Barisal,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-107,22.39978631,89.90671404,FCBK,biomass,Barisal,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-108,22.96483181,90.47556016,FCBK,biomass,Barisal,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-109,22.92150775,90.51443431,FCBK,biomass,Barisal,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-110,23.85136191,88.83609712,FCBK,biomass,Khulna,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-111,23.85593643,88.72952125,FCBK,biomass,Khulna,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-112,23.85335401,88.72930087,FCBK,biomass,Khulna,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-113,22.90797601,90.52977241,FCBK,biomass,Barisal,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-114,22.54958572,90.14507783,FCBK,biomass,Barisal,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-115,22.45001726,90.16814274,FCBK,biomass,Barisal,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-116,22.31661149,89.14997906,FCBK,biomass,Khulna,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-117,23.41017948,89.60972216,FCBK,biomass,Dhaka,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-118,22.47851953,90.6950682,FCBK,biomass,Barisal,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-119,24.14579829,89.49762573,FCBK,biomass,Rajshahi,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-120,22.75657433,90.36663614,FCBK,biomass,Barisal,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-121,22.43353333,90.16829483,FCBK,biomass,Barisal,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-122,22.43689987,90.16796695,FCBK,biomass,Barisal,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-123,23.37333297,90.24279033,FCBK,biomass,Dhaka,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-124,22.61405575,90.42369338,FCBK,biomass,Barisal,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-125,22.54933989,90.46457802,FCBK,biomass,Barisal,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-126,22.39428473,89.57989181,FCBK,biomass,Khulna,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-127,23.62998375,90.43805663,FCBK,biomass,Dhaka,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-128,23.62650453,90.43969063,FCBK,biomass,Dhaka,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-129,23.62916677,90.43877688,FCBK,biomass,Dhaka,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-130,24.57867312,90.00930689,FCBK,biomass,Dhaka,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-131,22.75805973,89.03383546,FCBK,biomass,Khulna,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-132,23.81215465,88.61974536,FCBK,biomass,Khulna,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-133,22.79306567,90.36205788,FCBK,biomass,Barisal,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-134,22.8519652,89.54983015,FCBK,biomass,Khulna,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-135,22.82791579,89.64307473,FCBK,biomass,Khulna,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-136,22.65253665,90.38875083,FCBK,biomass,Barisal,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
