country,plant_name,daily_prod,nox_ton_yr,sox_ton_yr,p10_ton_yr,p25_ton_yr,cap_mw,status,coal_type,location,heat_rate,emi_factor,latitude,longitude
India,Harduaganj power station,963600000,4143.48,6937.92,356.532,183.084,110,operating,bituminous,Aligarh,12618,94600,28.0175,78.13
India,Harduaganj power station,2190000000,9417,15768,810.3,416.1,250,operating,bituminous,Aligarh,11313,94600,28.0175,78.13
India,Harduaganj power station,2190000000,9417,15768,810.3,416.1,250,operating,bituminous,Aligarh,11313,94600,28.0175,78.13
India,Harduaganj power station,2190000000,9417,15768,810.3,416.1,660,pre-permit,bituminous,Aligarh,11313,94600,28.0175,78.13
India,Hiranmaye Haldia power station,1314000000,5650.2,9460.8,486.18,249.66,150,operating,unknown,Burdwan,10326,96100,22.076989,88.0984126
India,Hiranmaye Haldia power station,1314000000,5650.2,9460.8,486.18,249.66,150,operating,unknown,Burdwan,10326,96100,22.076989,88.0984126
India,Indira Gandhi Super Thermal Power Project,4380000000,18834,31536,1620.6,832.2,500,operating,bituminous,Jhajjar,9572,94600,28.4850914,76.3731605
India,Indira Gandhi Super Thermal Power Project,4380000000,18834,31536,1620.6,832.2,500,operating,bituminous,Jhajjar,9572,94600,28.4850914,76.3731605
India,Indira Gandhi Super Thermal Power Project,4380000000,18834,31536,1620.6,832.2,500,operating,bituminous,Jhajjar,9572,94600,28.4850914,76.3731605
India,Jawaharpur Thermal Project,5781600000,24860.88,41627.52,2139.192,1098.504,660,construction,unknown,Etah,8409,96100,27.497098,78.826071
India,Jawaharpur Thermal Project,5781600000,24860.88,41627.52,2139.192,1098.504,660,construction,unknown,Etah,8409,96100,27.497098,78.826071
India,Kahalgaon Super Thermal Power Plant,1839600000,7910.28,13245.12,680.652,349.524,210,operating,lignite,Bhagalpur,12618,101000,25.2369032,87.2655952
India,Kahalgaon Super Thermal Power Plant,1839600000,7910.28,13245.12,680.652,349.524,210,operating,lignite,Bhagalpur,12183,101000,25.2369032,87.2655952
India,Kahalgaon Super Thermal Power Plant,1839600000,7910.28,13245.12,680.652,349.524,210,operating,lignite,Bhagalpur,12183,101000,25.2369032,87.2655952
India,Kahalgaon Super Thermal Power Plant,1839600000,7910.28,13245.12,680.652,349.524,210,operating,lignite,Bhagalpur,12183,101000,25.2369032,87.2655952
India,Kahalgaon Super Thermal Power Plant,4380000000,18834,31536,1620.6,832.2,500,operating,lignite,Bhagalpur,9572,101000,25.2369032,87.2655952
India,Kahalgaon Super Thermal Power Plant,4380000000,18834,31536,1620.6,832.2,500,operating,lignite,Bhagalpur,9572,101000,25.2369032,87.2655952
India,Kahalgaon Super Thermal Power Plant,4380000000,18834,31536,1620.6,832.2,500,operating,lignite,Bhagalpur,9572,101000,25.2369032,87.2655952
India,Kanoria Captive Power Plant,,,,,,50,operating,,Sonbhadra,,,24.203819,83.056088
India,Katwa Thermal Power Station,,,,,,800,pre-permit,,Nadia,,,23.652583,88.139333
India,Katwa Thermal Power Station,,,,,,800,pre-permit,,Nadia,,,23.652583,88.139333
India,Khamberkhera IPP power station,394200000,1695.06,2838.24,145.854,74.898,45,operating,unknown,Lakhimpur Kheri,11313,96100,27.9,80.8
India,Khamberkhera IPP power station,394200000,1695.06,2838.24,145.854,74.898,45,operating,unknown,Lakhimpur Kheri,11313,96100,27.9,80.8
India,Khurja power station,5781600000,24860.88,41627.52,2139.192,1098.504,660,construction,unknown,Bulandshahar,8409,96100,28.158333,77.908333
India,Khurja power station,5781600000,24860.88,41627.52,2139.192,1098.504,660,construction,unknown,Bulandshahar,8409,96100,28.158333,77.908333
India,Kolaghat Thermal Power Station,1839600000,7910.28,13245.12,680.652,349.524,210,operating,bituminous,Purba Medinipur (East Midnapore),12618,94600,22.416565,87.8709841
India,Kolaghat Thermal Power Station,1839600000,7910.28,13245.12,680.652,349.524,210,operating,bituminous,Purba Medinipur (East Midnapore),12183,94600,22.416565,87.8709841
India,Kolaghat Thermal Power Station,1839600000,7910.28,13245.12,680.652,349.524,210,operating,bituminous,Purba Medinipur (East Midnapore),12618,94600,22.416565,87.8709841
India,Kolaghat Thermal Power Station,1839600000,7910.28,13245.12,680.652,349.524,210,operating,bituminous,Purba Medinipur (East Midnapore),12183,94600,22.416565,87.8709841
India,Kolaghat Thermal Power Station,1839600000,7910.28,13245.12,680.652,349.524,210,operating,bituminous,Purba Medinipur (East Midnapore),12618,94600,22.416565,87.8709841
India,Kolaghat Thermal Power Station,1839600000,7910.28,13245.12,680.652,349.524,210,operating,bituminous,Purba Medinipur (East Midnapore),12183,94600,22.416565,87.8709841
India,Kundarki Ipp power station,394200000,1695.06,2838.24,145.854,74.898,45,operating,unknown,Gonda,11313,96100,27.03,82.23
India,Kundarki Ipp power station,394200000,1695.06,2838.24,145.854,74.898,45,operating,unknown,Gonda,11313,96100,27.03,82.23
India,Mahatma Gandhi power station,5781600000,24860.88,41627.52,2139.192,1098.504,660,operating,bituminous,Jhajjar,9250,94600,28.488143,76.352534
India,Mahatma Gandhi power station,5781600000,24860.88,41627.52,2139.192,1098.504,660,operating,bituminous,Jhajjar,9250,94600,28.488143,76.352534
India,Maqsoodpur power station,394200000,1695.06,2838.24,145.854,74.898,45,operating,unknown,Shahjahanpur,11313,96100,27.81,79.94
India,Maqsoodpur power station,394200000,1695.06,2838.24,145.854,74.898,45,operating,unknown,Shahjahanpur,11313,96100,27.81,79.94
India,Meja Thermal Power Project,5781600000,24860.88,41627.52,2139.192,1098.504,660,operating,unknown,Allahabad,8409,96100,25.1458673,81.940096
India,Meja Thermal Power Project,5781600000,24860.88,41627.52,2139.192,1098.504,660,operating,unknown,Allahabad,8409,96100,25.1458673,81.940096
India,Mejia power station,4380000000,18834,31536,1620.6,832.2,500,operating,unknown,Bankura,9572,96100,23.4639,87.1311
India,Mejia power station,4380000000,18834,31536,1620.6,832.2,500,operating,unknown,Bankura,9572,96100,23.4639,87.1311
India,Mejia power station,1839600000,7910.28,13245.12,680.652,349.524,210,operating,unknown,Bankura,12183,96100,23.4639,87.1311
India,Mejia power station,1839600000,7910.28,13245.12,680.652,349.524,210,operating,unknown,Bankura,12183,96100,23.4639,87.1311
India,Mejia power station,1839600000,7910.28,13245.12,680.652,349.524,210,operating,unknown,Bankura,12183,96100,23.4639,87.1311
India,Mejia power station,1839600000,7910.28,13245.12,680.652,349.524,210,operating,unknown,Bankura,11313,96100,23.4639,87.1311
India,Mejia power station,2190000000,9417,15768,810.3,416.1,250,operating,unknown,Bankura,11313,96100,23.4639,87.1311
India,Mejia power station,2190000000,9417,15768,810.3,416.1,250,operating,unknown,Bankura,11313,96100,23.4639,87.1311
India,Mukerian Power Station,,,,,,660,pre-permit,,,,,31.967408,75.725348
India,Mukerian Power Station,,,,,,660,pre-permit,,,,,31.967408,75.725348
India,Muzaffarpur power station,1708200000,7345.26,12299.04,632.034,324.558,195,construction,bituminous,Muzaffarpur,10442,94600,26.1947708,85.3033018
India,Muzaffarpur power station,1708200000,7345.26,12299.04,632.034,324.558,195,construction,unknown,Muzaffarpur,10326,96100,26.1947708,85.3033018
India,Muzaffarpur power station,1708200000,7345.26,12299.04,632.034,324.558,110,operating,bituminous,Muzaffarpur,10442,94600,26.1947708,85.3033018
India,Muzaffarpur power station,1708200000,7345.26,12299.04,632.034,324.558,110,operating,unknown,Muzaffarpur,10326,96100,26.1947708,85.3033018
India,Nabinagar Super Thermal Power Project,5781600000,24860.88,41627.52,2139.192,1098.504,660,operating,unknown,Aurangabad,8409,96100,24.7760001,84.1580254
India,Nabinagar Super Thermal Power Project,5781600000,24860.88,41627.52,2139.192,1098.504,660,operating,unknown,Aurangabad,8409,96100,24.7760001,84.1580254
India,Nabinagar Super Thermal Power Project,5781600000,24860.88,41627.52,2139.192,1098.504,660,operating,unknown,Aurangabad,8409,96100,24.7760001,84.1580254
India,Nabinagar Thermal Power Project,2190000000,9417,15768,810.3,416.1,250,operating,unknown,Aurangabad,10442,96100,24.7050812,84.0887384
India,Nabinagar Thermal Power Project,2190000000,9417,15768,810.3,416.1,250,operating,unknown,Aurangabad,10442,96100,24.7050812,84.0887384
India,Nabinagar Thermal Power Project,2190000000,9417,15768,810.3,416.1,250,operating,unknown,Aurangabad,10442,96100,24.7050812,84.0887384
India,Nabinagar Thermal Power Project,2190000000,9417,15768,810.3,416.1,250,operating,unknown,Aurangabad,10442,96100,24.7050812,84.0887384
India,National Capital Dadri Thermal Power Plant,1839600000,7910.28,13245.12,680.652,349.524,210,operating,unknown,Gautam Buddha Nagar,12618,96100,28.603,77.6078
India,National Capital Dadri Thermal Power Plant,1839600000,7910.28,13245.12,680.652,349.524,210,operating,unknown,Gautam Buddha Nagar,12618,96100,28.603,77.6078
India,National Capital Dadri Thermal Power Plant,1839600000,7910.28,13245.12,680.652,349.524,210,operating,unknown,Gautam Buddha Nagar,12618,96100,28.603,77.6078
