OBJECTID_1,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MAJORITY_COUNT,MAJORITY_PERCENT,MINORITY,MINORITY_COUNT,MINORITY_PERCENT,MEDIAN,PCT90
3809,3.000000000000000,0.000208333333333,1018,1046,28,1030.333333333333258,11.671427600007730,3091.000000000000000,3,1018,1,33.3333015,1018,1,33.3333015,1027,1046
3810,5.000000000000000,0.000347222222222,1202,3559,2357,2201.400000000000091,892.689554100416217,11007.000000000000000,5,1202,1,20.0000000,1202,1,20.0000000,1673,3559
3811,4.000000000000000,0.000277777777778,329,1628,1299,1153.250000000000000,524.407463238272385,4613.000000000000000,4,329,1,25.0000000,329,1,25.0000000,1069,1628
3812,4.000000000000000,0.000277777777778,604,3312,2708,2113.750000000000000,1080.609636964246192,8455.000000000000000,4,604,1,25.0000000,604,1,25.0000000,1596,3312
3813,4.000000000000000,0.000277777777778,441,1729,1288,1033.000000000000000,459.865741276733957,4132.000000000000000,4,441,1,25.0000000,441,1,25.0000000,928,1729
3814,4.000000000000000,0.000277777777778,729,1542,813,1287.000000000000000,333.060805259339986,5148.000000000000000,3,1542,2,50.0000000,729,1,25.0000000,1335,1542
3815,4.000000000000000,0.000277777777778,772,1969,1197,1477.250000000000000,438.799142547019983,5909.000000000000000,4,772,1,25.0000000,772,1,25.0000000,1520,1969
3816,3.000000000000000,0.000208333333333,716,1071,355,895.000000000000000,144.943667218221947,2685.000000000000000,3,716,1,33.3333015,716,1,33.3333015,898,1071
3817,3.000000000000000,0.000208333333333,878,1758,880,1254.666666666666742,370.255167268316313,3764.000000000000000,3,878,1,33.3333015,878,1,33.3333015,1128,1758
3818,4.000000000000000,0.000277777777778,664,1758,1094,1107.000000000000000,410.162163052615085,4428.000000000000000,4,664,1,25.0000000,664,1,25.0000000,878,1758
3819,3.000000000000000,0.000208333333333,526,1511,985,894.000000000000000,438.981396720483644,2682.000000000000000,3,526,1,33.3333015,526,1,33.3333015,645,1511
3820,5.000000000000000,0.000347222222222,225,1680,1455,711.600000000000023,560.415774224816118,3558.000000000000000,5,225,1,20.0000000,225,1,20.0000000,373,1680
3821,3.000000000000000,0.000208333333333,261,302,41,285.666666666666686,17.745108872274887,857.000000000000000,3,261,1,33.3333015,261,1,33.3333015,294,302
3822,4.000000000000000,0.000277777777778,73,746,673,439.750000000000000,240.456207031550775,1759.000000000000000,4,73,1,25.0000000,73,1,25.0000000,446,746
3823,4.000000000000000,0.000277777777778,688,1574,886,1030.250000000000000,349.005999232104898,4121.000000000000000,4,688,1,25.0000000,688,1,25.0000000,765,1574
