brickid,state,latitude,longitude
BKP-549,Punjab,73.42433874,32.68407872
BKP-550,Punjab,73.4245184,30.54042896
BKP-551,Punjab,73.42543745,30.78366164
BKP-552,Punjab,73.43169744,31.96118195
BKP-553,Punjab,73.42778602,31.98074838
BKP-554,Punjab,73.42963063,32.42010877
BKP-555,Punjab,73.42565028,32.42662156
BKP-556,Punjab,73.42870305,32.50392533
BKP-557,Punjab,73.42983994,32.40446832
BKP-558,Punjab,73.43296256,32.50727802
BKP-559,Punjab,73.43233118,32.49192266
BKP-560,Punjab,73.43964953,33.41008508
BKP-561,Punjab,73.43917512,31.70682752
BKP-562,Punjab,73.44025504,30.9498753
BKP-563,Punjab,73.43492727,30.91018857
BKP-564,Punjab,73.43455707,30.91028782
BKP-565,Punjab,73.44296048,31.28056256
BKP-566,Punjab,73.43556107,31.39482191
BKP-567,Punjab,73.43439635,31.29936006
BKP-568,Punjab,73.43685842,31.32255898
BKP-569,Punjab,73.43560034,31.3652743
BKP-570,Punjab,73.43705924,31.36040359
BKP-571,Punjab,73.4391834,31.35553779
BKP-572,Punjab,73.43642749,31.30716672
BKP-573,Punjab,73.43380527,31.30430066
BKP-574,Punjab,73.43638365,31.30329077
BKP-575,Punjab,73.43449627,31.30281928
BKP-576,Punjab,73.44486824,32.39595008
BKP-577,Punjab,73.4507725,32.54484817
BKP-578,Punjab,73.44326325,32.32849559
BKP-579,Punjab,73.44733561,32.60686852
BKP-580,Punjab,73.44661696,30.88583118
BKP-581,Punjab,73.452191,32.57798319
BKP-582,Punjab,73.44917715,30.94880308
BKP-583,Punjab,73.44639238,32.25387553
BKP-584,Punjab,73.45239351,30.95586267
BKP-585,Punjab,73.44363689,30.94939871
BKP-586,Punjab,73.44817565,32.56403588
BKP-587,Punjab,73.44532476,32.56091624
BKP-588,Punjab,73.44508982,32.56096461
BKP-589,Punjab,73.44328121,31.77258515
BKP-590,Punjab,73.45290516,33.3287996
BKP-591,Punjab,73.45079412,31.84530677
BKP-592,Punjab,73.45038988,31.84545649
BKP-593,Punjab,73.44575457,33.42647342
BKP-594,Punjab,73.44645363,33.40681828
BKP-595,Punjab,73.45092178,31.8788549
BKP-596,Punjab,73.52146295,32.6545119
BKP-597,Punjab,73.52132684,32.98156581
BKP-598,Punjab,73.51606504,31.59663812
BKP-599,Punjab,73.51686521,30.67876951
BKP-600,Punjab,73.52288392,30.84229284
BKP-601,Punjab,73.51724567,30.80727351
BKP-602,Punjab,73.51601589,30.79916417
BKP-603,Punjab,73.52056088,31.14274217
