brickid,type,longitude,latitude
BKI-786,zigzag,87.92992644,22.32067352
BKI-787,fcbk,87.92665345,22.30669223
BKI-788,zigzag,87.89899782,22.45742476
BKI-789,fcbk,87.97528731,22.67578373
BKI-790,fcbk,88.12418252,22.45627432
BKI-791,zigzag,87.93501095,22.33092056
BKI-792,fcbk,88.02485547,22.4353571
BKI-795,zigzag,88.10187052,22.33285253
BKI-796,zigzag,88.0245469,22.43242804
BKI-797,fcbk,88.04839638,22.34095912
BKI-798,zigzag,87.88046902,22.46774029
BKI-799,fcbk,87.93519708,22.32674316
BKI-800,zigzag,88.04747453,22.37991124
BKI-803,zigzag,88.04212576,22.39847118
BKI-804,zigzag,87.92981361,22.31038783
BKI-805,zigzag,88.06382962,22.35721042
BKI-806,zigzag,88.13385629,22.44055239
BKI-807,fcbk,83.70930724,26.01836574
BKI-808,fcbk,83.69417416,26.30986549
BKI-809,zigzag,87.92906518,22.30902868
BKI-810,zigzag,88.12428356,22.46227914
BKI-811,fcbk,88.23038333,22.54345905
BKI-813,fcbk,88.23568653,22.52807463
BKI-815,zigzag,88.10233365,22.33112665
BKI-816,fcbk,88.02471494,22.43653409
BKI-817,fcbk,88.25214221,22.53942
BKI-818,fcbk,88.25146754,22.53588472
BKI-819,fcbk,88.20662388,22.5189684
BKI-820,zigzag,83.33686954,26.03702033
BKI-821,fcbk,83.6555696,26.36384514
BKI-823,fcbk,78.03852568,28.81674624
BKI-824,fcbk,78.18864294,28.89537608
BKI-825,fcbk,78.22285366,28.8446369
BKI-826,fcbk,78.25951785,29.11954842
BKI-827,fcbk,78.20519762,28.96999153
BKI-828,fcbk,78.03393522,28.82849493
BKI-829,fcbk,78.26899096,29.0137781
BKI-830,fcbk,77.9804549,29.13558071
BKI-831,fcbk,77.94880672,28.98384731
BKI-832,zigzag,78.2690301,29.15346556
BKI-833,fcbk,78.31248222,28.96634328
BKI-834,fcbk,78.02566681,28.911151
BKI-835,fcbk,78.31455941,28.96111079
BKI-836,zigzag,78.07515726,28.7991643
BKI-837,fcbk,78.03944263,28.8124985
BKI-838,fcbk,78.28707368,28.99812047
BKI-839,fcbk,77.9940348,28.97413886
BKI-840,fcbk,78.27309417,28.85570425
BKI-841,zigzag,77.9530616,29.07894467
BKI-842,zigzag,78.26698499,29.11483404
BKI-843,fcbk,77.94033386,28.92136221
BKI-844,fcbk,77.97925726,29.14902519
BKI-845,fcbk,77.97692104,28.93554834
BKI-846,fcbk,78.2358154,28.9825905
BKI-847,fcbk,78.27851726,29.0895783
BKI-848,fcbk,78.31797446,28.94212365
BKI-849,fcbk,78.30877678,28.95697864
BKI-850,fcbk,78.28859155,28.99945784
BKI-851,zigzag,78.0629341,28.79901848
BKI-852,fcbk,78.26866013,29.01269508
BKI-853,fcbk,78.27010968,29.02236963
BKI-854,fcbk,78.17424538,28.94329842
BKI-855,fcbk,78.28071553,29.09009568
BKI-856,fcbk,78.26900568,29.02212454
BKI-857,zigzag,77.98890549,29.14246698
BKI-858,fcbk,78.18922419,28.8656307
