plnt_nm,country,cap_all,ttl_cp_,stts_ll,units,status,prod_kw,nx_tn_y,sx_tn_y,p10_tn_,p25_tn_,long,lat
Thar Block I power station,Pakistan,"660, 660",1320.000000000000000,"operating, operating",2,operating,11563200000.000000000000000,49721.760000000002037,83255.039999999993597,4278.384000000000015,2197.007999999999811,70.302493299999995,24.710802900000001
Thar Block II power station,Pakistan,"330, 330",660.000000000000000,"operating, operating",2,operating,5781600000.000000000000000,24860.880000000001019,41627.519999999996799,2139.192000000000007,1098.503999999999905,70.394069000000002,24.812481200000001
Thar Block VI power station,Pakistan,"700, 700",1400.000000000000000,"pre-permit, pre-permit",2,pre-permit,12264000000.000000000000000,52735.199999999997090,88300.800000000002910,4537.680000000000291,2330.159999999999854,70.315074899999999,24.840801700000000
Thar Energy Limited power station,Pakistan,330,330.000000000000000,operating,1,operating,2890800000.000000000000000,12430.440000000000509,20813.759999999998399,1069.596000000000004,549.251999999999953,70.400500699999995,24.806213499999998
The Durgapur Projects Limited,India,"250, 110, 30, 30, 77, 77, 77, 300",951.000000000000000,"operating, operating, operating, operating, operating, operating, operating, operating",8,operating,8330760000.000000000000000,35822.267999999996391,59981.472000000001572,3082.381199999999808,1582.844399999999951,87.302978999999993,23.518135000000001
Titagarh power station,India,"60, 60, 60, 60",240.000000000000000,"operating, operating, operating, operating",4,operating,2102400000.000000000000000,9040.319999999999709,15137.280000000000655,777.888000000000034,399.456000000000017,88.370309199999994,22.731974099999999
Utraula power station,India,"45, 45",90.000000000000000,"operating, operating",2,operating,788400000.000000000000000,3390.119999999999891,5676.479999999999563,291.708000000000027,149.795999999999992,82.180000000000007,27.430000000000000
Welspun Energy Mirzapur power station,India,"660, 660",1320.000000000000000,"permitted, permitted",2,permitted,11563200000.000000000000000,49721.760000000002037,83255.039999999993597,4278.384000000000015,2197.007999999999811,82.678633000000005,24.982358000000001
Master Power Plant,Pakistan, 0,0.000000000000000,operating,0, operating,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,74.179736570000003,31.268784870000001
Sheikhupura power station,Pakistan,31.5,31.500000000000000,construction,1,construction,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,74.180800000000005,31.652600000000000
