id,iso3_count,original_i,temporal_g,gas,emissions_,emission_1,emission_2,capacity,capacity_u,activity,activity_u,source_nam,source_typ,lat,lon,other1,other2,other4,other5,other6,other7,other8,other9,other10,other1_def,other2_def,other4_def,other5_def,other6_def,other7_def,other8_def,other9_def,other10_de
54,BGD,solid-waste-disposal,annual,n2o,0,0,,0,m2,289072.51,T of waste,OpenStreetMap Landfill,,23.79789347,90.30034971,METER/OSM,,modeled,2022,Active,,,0,0,metadata_source,landfill_area_source,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place
55,BGD,solid-waste-disposal,annual,co2e_100yr,378194.67,0,,0,m2,289072.51,T of waste,OpenStreetMap Landfill,,23.79789347,90.30034971,METER/OSM,,modeled,2022,Active,,,0,0,metadata_source,landfill_area_source,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place
56,BGD,solid-waste-disposal,annual,co2e_20yr,1134584.01,0,,0,m2,289072.51,T of waste,OpenStreetMap Landfill,,23.79789347,90.30034971,METER/OSM,,modeled,2022,Active,,,0,0,metadata_source,landfill_area_source,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place
57,BGD,solid-waste-disposal,annual,co2,0,0,,0,m2,289072.51,T of waste,OpenStreetMap Landfill,,23.79789347,90.30034971,METER/OSM,,modeled,2022,Active,,,0,0,metadata_source,landfill_area_source,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place
58,BGD,solid-waste-disposal,annual,ch4,13506.95,0.046725,T of CO2 per T of waste,0,m2,289072.51,T of waste,OpenStreetMap Landfill,,23.79789347,90.30034971,METER/OSM,,modeled,2022,Active,,,0,0,metadata_source,landfill_area_source,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place
59,BGD,solid-waste-disposal,annual,n2o,0,0,,0,m2,289072.51,T of waste,OpenStreetMap Landfill,,23.79789347,90.30034971,METER/OSM,,modeled,2022,Active,,,0,0,metadata_source,landfill_area_source,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place
60,BGD,solid-waste-disposal,annual,co2e_100yr,378194.67,0,,0,m2,289072.51,T of waste,OpenStreetMap Landfill,,23.79789347,90.30034971,METER/OSM,,modeled,2022,Active,,,0,0,metadata_source,landfill_area_source,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place
61,BGD,solid-waste-disposal,annual,co2e_20yr,1134584.01,0,,0,m2,289072.51,T of waste,OpenStreetMap Landfill,,23.79789347,90.30034971,METER/OSM,,modeled,2022,Active,,,0,0,metadata_source,landfill_area_source,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place
62,IND,solid-waste-disposal,annual,co2,0,0,,39800.24,m2,75587.71,T of waste,"Gp Block, Bhangar - Ii, South 24 Parganas",Dumpsites,22.56436129,88.44814159,Global Plastic Watch,,modeled,2021,Active,,,0,0,metadata_source,landfill_area_source,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place
63,IND,solid-waste-disposal,annual,ch4,3616.18,0.047841,T of CO2 per T of waste,39800.24,m2,75587.71,T of waste,"Gp Block, Bhangar - Ii, South 24 Parganas",Dumpsites,22.56436129,88.44814159,Global Plastic Watch,,modeled,2021,Active,,,0,0,metadata_source,landfill_area_source,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place
64,IND,solid-waste-disposal,annual,n2o,0,0,,39800.24,m2,75587.71,T of waste,"Gp Block, Bhangar - Ii, South 24 Parganas",Dumpsites,22.56436129,88.44814159,Global Plastic Watch,,modeled,2021,Active,,,0,0,metadata_source,landfill_area_source,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place
65,IND,solid-waste-disposal,annual,co2e_100yr,101253.08,0,,39800.24,m2,75587.71,T of waste,"Gp Block, Bhangar - Ii, South 24 Parganas",Dumpsites,22.56436129,88.44814159,Global Plastic Watch,,modeled,2021,Active,,,0,0,metadata_source,landfill_area_source,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place
66,IND,solid-waste-disposal,annual,co2e_20yr,303759.25,0,,39800.24,m2,75587.71,T of waste,"Gp Block, Bhangar - Ii, South 24 Parganas",Dumpsites,22.56436129,88.44814159,Global Plastic Watch,,modeled,2021,Active,,,0,0,metadata_source,landfill_area_source,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place
67,IND,solid-waste-disposal,annual,co2,0,0,,39800.24,m2,75587.71,T of waste,"Gp Block, Bhangar - Ii, South 24 Parganas",Dumpsites,22.56436129,88.44814159,Global Plastic Watch,,modeled,2021,Active,,,0,0,metadata_source,landfill_area_source,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place
68,IND,solid-waste-disposal,annual,ch4,3616.18,0.047841,T of CO2 per T of waste,39800.24,m2,75587.71,T of waste,"Gp Block, Bhangar - Ii, South 24 Parganas",Dumpsites,22.56436129,88.44814159,Global Plastic Watch,,modeled,2021,Active,,,0,0,metadata_source,landfill_area_source,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place
69,IND,solid-waste-disposal,annual,n2o,0,0,,39800.24,m2,75587.71,T of waste,"Gp Block, Bhangar - Ii, South 24 Parganas",Dumpsites,22.56436129,88.44814159,Global Plastic Watch,,modeled,2021,Active,,,0,0,metadata_source,landfill_area_source,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place
70,IND,solid-waste-disposal,annual,co2e_100yr,101253.08,0,,39800.24,m2,75587.71,T of waste,"Gp Block, Bhangar - Ii, South 24 Parganas",Dumpsites,22.56436129,88.44814159,Global Plastic Watch,,modeled,2021,Active,,,0,0,metadata_source,landfill_area_source,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place
