uid,city,state,country,region,sub_region,latitude,longitude,status,plant_type,production,capacity,capacity_s,year,owner_name
GACTPAK0026,Jamshoro,Sindh,Pakistan,Asia,Southern Asia,25.154011,67.703129,Operating,Integrated,Dry,0.6,https://prd-wret.s3-us-west-2.amazonaws.com/assets/palladium/production/atoms/files/myb3-2016-pk.pdf,"0",Power Cement Ltd
GACTPAK0027,RCW Rohri,Sindh,Pakistan,Asia,Southern Asia,27.669985,68.891452,Operating,Integrated,Dry,1.8,http://dbaluch.com/rohri-cement-factory/,"1938",Rohri Cement Factory Pvt Ltd
GACTPAK0028,Thatta,Sindh,Pakistan,Asia,Southern Asia,24.648057,67.843569,Operating,Integrated,Dry,0.675,http://www.thattacement.com/Company-Profile.html,"1982",Thatta Cement Company Ltd
GACTPAK0029,Hyderabad,Sindh,Pakistan,Asia,Southern Asia,25.34692,68.396246,Operating,Integrated,,0.576,http://dbaluch.com/zeal-pak-cement-factory-ltd/,"1956",Zeal Pak Cement Factory Ltd
GACTIND0235,Vilemar Kundi,Uttar Pradesh,India,Asia,Southern Asia,24.44605,83.075826,Operating,Integrated,Dry,1.59,Estimated,"0",
GACTIND0236,Churk,Uttar Pradesh,India,Asia,Southern Asia,24.63924,83.101967,Operating,Integrated,Dry,0,,"0",
GACTIND0243,Mirzapur,Uttar Pradesh,India,Asia,Southern Asia,25.087704,82.902584,Operating,Grinding,,0,,"0",
GACTIND0244,Prayagraj,Uttar Pradesh,India,Asia,Southern Asia,25.229553,81.781506,Operating,Grinding,,0,,"0",
GACTIND0245,Chenchur Gerya,West Bengal,India,Asia,Southern Asia,22.392435,87.015888,Operating,Grinding,,0,,"0",
GACTIND0249,Chherat,Uttar Pradesh,India,Asia,Southern Asia,27.960795,78.08159,Operating,Grinding,,0,,"0",
GACTIND0251,Bardhaman,West Bengal,India,Asia,Southern Asia,23.718837,86.954305,Operating,,,0,,"0",
