GID_3,GID_0,COUNTRY,GID_1,NAME_1,NL_NAME_1,GID_2,NAME_2,NL_NAME_2,NAME_3,VARNAME_3,NL_NAME_3,TYPE_3,ENGTYPE_3,CC_3,HASC_3,OBJECTID,Join_Count,TARGET_FID,id,lat,lon,type,state,schools1km,hosp1km,pop1km,Shape_Length,Shape_Area
PAK.5.5.1_1,PAK,Pakistan,PAK.5_1,Khyber-Pakhtunkhwa,NA,PAK.5.5_1,Kohat,NA,Hangu,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.5.5.2_1,PAK,Pakistan,PAK.5_1,Khyber-Pakhtunkhwa,NA,PAK.5.5_1,Kohat,NA,Karak,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.5.5.3_1,PAK,Pakistan,PAK.5_1,Khyber-Pakhtunkhwa,NA,PAK.5.5_1,Kohat,NA,Kohat,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.5.6.1_1,PAK,Pakistan,PAK.5_1,Khyber-Pakhtunkhwa,NA,PAK.5.6_1,Malakand,NA,Chitral,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.5.6.2_1,PAK,Pakistan,PAK.5_1,Khyber-Pakhtunkhwa,NA,PAK.5.6_1,Malakand,NA,Dir,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.5.6.3_1,PAK,Pakistan,PAK.5_1,Khyber-Pakhtunkhwa,NA,PAK.5.6_1,Malakand,NA,Malakand P.A.,Malakand,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.5.6.4_1,PAK,Pakistan,PAK.5_1,Khyber-Pakhtunkhwa,NA,PAK.5.6_1,Malakand,NA,Shangla,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.5.6.5_1,PAK,Pakistan,PAK.5_1,Khyber-Pakhtunkhwa,NA,PAK.5.6_1,Malakand,NA,Swat,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.5.7.1_1,PAK,Pakistan,PAK.5_1,Khyber-Pakhtunkhwa,NA,PAK.5.7_1,Mardan,NA,Buner,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.5.7.2_1,PAK,Pakistan,PAK.5_1,Khyber-Pakhtunkhwa,NA,PAK.5.7_1,Mardan,NA,Mardan,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.5.7.3_1,PAK,Pakistan,PAK.5_1,Khyber-Pakhtunkhwa,NA,PAK.5.7_1,Mardan,NA,Swabi,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.5.8.1_1,PAK,Pakistan,PAK.5_1,Khyber-Pakhtunkhwa,NA,PAK.5.8_1,Peshawar,NA,Charsadda,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.5.8.2_1,PAK,Pakistan,PAK.5_1,Khyber-Pakhtunkhwa,NA,PAK.5.8_1,Peshawar,NA,Nowshera,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.5.8.3_1,PAK,Pakistan,PAK.5_1,Khyber-Pakhtunkhwa,NA,PAK.5.8_1,Peshawar,NA,Peshawar,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.7.1.1_1,PAK,Pakistan,PAK.7_1,Punjab,NA,PAK.7.1_1,Bahawalpur,NA,Bahawalnagar,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.7.1.2_1,PAK,Pakistan,PAK.7_1,Punjab,NA,PAK.7.1_1,Bahawalpur,NA,Bahawalpur,Bhawalpur,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.7.1.3_1,PAK,Pakistan,PAK.7_1,Punjab,NA,PAK.7.1_1,Bahawalpur,NA,Rahimyar Khan,Rahim Yar Khan,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.7.2.1_1,PAK,Pakistan,PAK.7_1,Punjab,NA,PAK.7.2_1,Dera Ghazi Khan,NA,Dera Ghazi Kha,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.7.2.2_1,PAK,Pakistan,PAK.7_1,Punjab,NA,PAK.7.2_1,Dera Ghazi Khan,NA,Layyah,Lieah,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.7.2.3_1,PAK,Pakistan,PAK.7_1,Punjab,NA,PAK.7.2_1,Dera Ghazi Khan,NA,Muzaffargarh,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.7.2.4_1,PAK,Pakistan,PAK.7_1,Punjab,NA,PAK.7.2_1,Dera Ghazi Khan,NA,Rajan Pur,Rajanpur,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.7.3.1_1,PAK,Pakistan,PAK.7_1,Punjab,NA,PAK.7.3_1,Faisalabad,NA,Faisalabad,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.7.3.2_1,PAK,Pakistan,PAK.7_1,Punjab,NA,PAK.7.3_1,Faisalabad,NA,Jhang,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.7.3.3_1,PAK,Pakistan,PAK.7_1,Punjab,NA,PAK.7.3_1,Faisalabad,NA,Toba Tek Singh,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.7.4.1_1,PAK,Pakistan,PAK.7_1,Punjab,NA,PAK.7.4_1,Gujranwala,NA,Gujarat,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.7.4.2_1,PAK,Pakistan,PAK.7_1,Punjab,NA,PAK.7.4_1,Gujranwala,NA,Gujranwala 1,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.7.4.3_1,PAK,Pakistan,PAK.7_1,Punjab,NA,PAK.7.4_1,Gujranwala,NA,Gujranwala 2,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.7.4.4_1,PAK,Pakistan,PAK.7_1,Punjab,NA,PAK.7.4_1,Gujranwala,NA,Gujrat,Gujarat,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.7.4.5_1,PAK,Pakistan,PAK.7_1,Punjab,NA,PAK.7.4_1,Gujranwala,NA,Hafizabad,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.7.4.6_1,PAK,Pakistan,PAK.7_1,Punjab,NA,PAK.7.4_1,Gujranwala,NA,Narowal 1,Norowal,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.7.4.7_1,PAK,Pakistan,PAK.7_1,Punjab,NA,PAK.7.4_1,Gujranwala,NA,Narowal 2,Norowal,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.7.4.8_1,PAK,Pakistan,PAK.7_1,Punjab,NA,PAK.7.4_1,Gujranwala,NA,Sialkot,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.7.5.1_1,PAK,Pakistan,PAK.7_1,Punjab,NA,PAK.7.5_1,Lahore,NA,Kasur,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.7.5.2_1,PAK,Pakistan,PAK.7_1,Punjab,NA,PAK.7.5_1,Lahore,NA,Lahore,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.7.5.3_1,PAK,Pakistan,PAK.7_1,Punjab,NA,PAK.7.5_1,Lahore,NA,Nankana Sahib,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.7.5.4_1,PAK,Pakistan,PAK.7_1,Punjab,NA,PAK.7.5_1,Lahore,NA,Okara,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.7.5.5_1,PAK,Pakistan,PAK.7_1,Punjab,NA,PAK.7.5_1,Lahore,NA,Okara 1,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.7.5.6_1,PAK,Pakistan,PAK.7_1,Punjab,NA,PAK.7.5_1,Lahore,NA,Sheikhupura,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.7.6.1_1,PAK,Pakistan,PAK.7_1,Punjab,NA,PAK.7.6_1,Multan,NA,Khanewal,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
