VALUE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MAJORITY_COUNT,MAJORITY_PERCENT,MINORITY,MINORITY_COUNT,MINORITY_PERCENT,MEDIAN,PCT90
173,19.000000000000000,0.001319444444444,88,106016,105928,21985.736842105259711,29392.664139994816651,417729.000000000000000,19,88,1,5.2631998,88,1,5.2631998,4323,52457
174,22.000000000000000,0.001527777777778,400,22428,22028,6235.818181818181984,5727.786631345033129,137188.000000000000000,22,400,1,4.5454998,400,1,4.5454998,4107,11859
176,7.000000000000000,0.000486111111111,10753,115358,104605,70107.857142857144936,41869.864012296042347,490755.000000000000000,7,10753,1,14.2856998,10753,1,14.2856998,98204,108548
177,9.000000000000000,0.000625000000000,34543,92952,58409,57166.888888888890506,20306.881775203666621,514502.000000000000000,9,34543,1,11.1111002,34543,1,11.1111002,58132,77461
178,8.000000000000000,0.000555555555556,1771,107167,105396,49796.125000000000000,37765.809975550306262,398369.000000000000000,8,1771,1,12.5000000,1771,1,12.5000000,57946,91880
179,3.000000000000000,0.000208333333333,24149,94332,70183,68921.666666666671517,31755.192082905468851,206765.000000000000000,3,24149,1,33.3333015,24149,1,33.3333015,88284,94332
180,318.000000000000000,0.022083333333333,23,8074,8051,1146.864779874213127,1119.036421731686914,364703.000000000000000,268,277,6,1.8868001,26,1,0.3145000,878,2115
181,1.000000000000000,0.000069444444444,33956,33956,0,33956.000000000000000,0.000000000000000,33956.000000000000000,1,33956,1,100.0000000,33956,1,100.0000000,33956,33956
182,13.000000000000000,0.000902777777778,147,116049,115902,55895.230769230773149,41340.950742954148154,726638.000000000000000,13,147,1,7.6922998,147,1,7.6922998,57817,107496
183,2.000000000000000,0.000138888888889,33947,34255,308,34101.000000000000000,154.000000000000000,68202.000000000000000,2,33947,1,50.0000000,33947,1,50.0000000,33947,34255
184,5.000000000000000,0.000347222222222,21014,66721,45707,40484.199999999997090,15175.297287368046455,202421.000000000000000,5,21014,1,20.0000000,21014,1,20.0000000,36484,66721
185,4.000000000000000,0.000277777777778,35875,50541,14666,44531.250000000000000,5450.671076803295364,178125.000000000000000,4,35875,1,25.0000000,35875,1,25.0000000,44390,50541
186,9.000000000000000,0.000625000000000,4294,120926,116632,44172.444444444445253,36679.164312881475780,397552.000000000000000,9,4294,1,11.1111002,4294,1,11.1111002,33505,73900
187,366.000000000000000,0.025416666666666,0,40498,40498,4216.062841530057995,5146.977321227604079,1543079.000000000000000,346,0,10,2.7321999,20,1,0.2732000,2384,9270
188,4.000000000000000,0.000277777777778,3536,60375,56839,32184.750000000000000,20202.138938426793175,128739.000000000000000,4,3536,1,25.0000000,3536,1,25.0000000,29502,60375
189,4.000000000000000,0.000277777777778,20756,60887,40131,34706.000000000000000,15518.572147591414250,138824.000000000000000,4,20756,1,25.0000000,20756,1,25.0000000,26534,60887
190,6.000000000000000,0.000416666666667,3405,68219,64814,24153.500000000000000,23218.285486156521074,144921.000000000000000,6,3405,1,16.6667004,3405,1,16.6667004,8898,40342
191,4.000000000000000,0.000277777777778,20489,49938,29449,37340.250000000000000,10630.197372932450889,149361.000000000000000,4,20489,1,25.0000000,20489,1,25.0000000,39086,49938
