VALUE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MAJORITY_COUNT,MAJORITY_PERCENT,MINORITY,MINORITY_COUNT,MINORITY_PERCENT,MEDIAN,PCT90
51,1182.000000000000000,0.082083333333333,0,28482,28482,2876.107445008461582,4293.931379261807706,3399559.000000000000000,881,0,110,9.3063002,3,1,0.0846000,1003,8950
52,1726.000000000000000,0.119861111111110,0,2337,2337,11.183661645422941,120.402744343543858,19303.000000000000000,32,0,1694,98.1460037,14,1,0.0579000,0,0
53,4395.000000000000000,0.305208333333331,0,1576,1576,1.846188850967016,44.586713008952927,8114.000000000000000,21,0,4371,99.4539032,24,1,0.0228000,0,0
54,10330.000000000000000,0.717361111111105,0,3033,3033,3.293320425943852,57.611602405789533,34020.000000000000000,101,0,10175,98.4994965,8,1,0.0097000,0,0
55,2328.000000000000000,0.161666666666665,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,1,0,2328,100.0000000,0,2328,100.0000000,0,0
56,1056.000000000000000,0.073333333333333,0,3473,3473,223.582386363636232,519.289947939172862,236103.000000000000000,292,0,675,63.9205017,3,1,0.0947000,0,850
57,1675.000000000000000,0.116319444444444,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,1,0,1675,100.0000000,0,1675,100.0000000,0,0
58,2530.000000000000000,0.175694444444443,0,20538,20538,794.704743083003791,1496.779914756543349,2010603.000000000000000,1128,0,261,10.3162003,19,1,0.0395000,413,1736
59,2070.000000000000000,0.143749999999999,0,3068,3068,13.650241545893724,134.876781797526576,28256.000000000000000,50,0,2017,97.4395981,4,1,0.0483000,0,0
60,2643.000000000000000,0.183541666666665,0,16496,16496,585.380249716231333,1117.459627227050532,1547160.000000000000000,979,0,591,22.3610001,3,1,0.0378000,172,1579
61,10020.000000000000000,0.695833333333328,0,3657,3657,2.007285429141716,68.035973275153282,20113.000000000000000,27,0,9992,99.7205963,4,1,0.0100000,0,0
62,6949.000000000000000,0.482569444444441,0,11687,11687,323.102029068930165,772.848868864946780,2245236.000000000000000,1308,0,3635,52.3097000,9,1,0.0144000,0,1054
63,1838.000000000000000,0.127638888888888,0,8118,8118,350.523394994558942,824.457846885837284,644262.000000000000000,548,0,944,51.3601990,8,1,0.0544000,0,1124
64,4213.000000000000000,0.292569444444442,0,6581,6581,249.666508426299373,554.899463663779898,1051845.000000000000000,923,0,2016,47.8518982,11,1,0.0237000,6,813
65,3692.000000000000000,0.256388888888887,0,19060,19060,368.377302275189948,1059.356447947371862,1360049.000000000000000,854,0,1947,52.7355995,5,1,0.0271000,0,1027
66,4402.000000000000000,0.305694444444442,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,1,0,4402,100.0000000,0,4402,100.0000000,0,0
67,7482.000000000000000,0.519583333333329,0,8911,8911,211.024726009088340,648.347005807290770,1578887.000000000000000,1043,0,5451,72.8548965,3,1,0.0134000,0,672
68,1380.000000000000000,0.095833333333333,0,9333,9333,672.913768115941934,1206.753940535867514,928621.000000000000000,630,0,414,30.0000000,23,1,0.0725000,102,2034
69,2270.000000000000000,0.157638888888888,0,4561,4561,276.763876651982628,424.342330965564372,628254.000000000000000,734,0,477,21.0132008,20,1,0.0441000,113,761
70,7429.000000000000000,0.515902777777774,0,10069,10069,216.115224121685003,728.604830831587265,1605520.000000000000000,973,0,4458,60.0080986,3,1,0.0135000,0,534
71,2344.000000000000000,0.162777777777776,0,7287,7287,309.291382252559799,672.837746488554899,724979.000000000000000,669,0,630,26.8771000,54,1,0.0427000,57,891
72,2189.000000000000000,0.152013888888888,0,13449,13449,1090.476930105071688,1399.114903287657398,2387054.000000000000000,1243,0,290,13.2481003,3,1,0.0457000,708,2644
73,2185.000000000000000,0.151736111111110,0,10803,10803,740.357437070938090,1325.246964738144470,1617681.000000000000000,956,0,509,23.2952003,66,1,0.0458000,168,2144
74,1330.000000000000000,0.092361111111110,0,13885,13885,1393.648120300754044,1319.342825507559837,1853552.000000000000000,993,0,56,4.2104998,3,1,0.0752000,1146,2858
75,2600.000000000000000,0.180555555555554,0,18125,18125,749.366923076922944,1585.701317053725234,1948354.000000000000000,970,0,1019,39.1922989,27,1,0.0385000,48,2370
76,1777.000000000000000,0.123402777777777,0,34776,34776,2690.921778278006514,3504.848605408766616,4781768.000000000000000,1359,0,80,4.5019999,13,1,0.0563000,1416,7507
77,10904.000000000000000,0.757222222222216,0,20858,20858,366.470194424064516,860.918457920336436,3995991.000000000000000,1627,0,3573,32.7677994,5,1,0.0092000,46,1092
78,32186.000000000000000,2.235138888888871,0,34847,34847,159.469054868576052,830.374262201010424,5132671.000000000000000,1756,0,24233,75.2904968,20,1,0.0031000,0,379
79,16588.000000000000000,1.151944444444435,0,25153,25153,306.861405835541518,889.432788069524577,5090217.000000000000000,1568,0,7017,42.3017006,1,1,0.0060000,39,783
80,23135.000000000000000,1.606597222222209,0,25206,25206,125.153447157985653,547.981025326315148,2895425.000000000000000,1374,0,13760,59.4770012,92,1,0.0043000,0,293
81,8276.000000000000000,0.574722222222218,0,23097,23097,339.801715804736148,781.803625346594458,2812199.000000000000000,1259,0,1689,20.4083996,3,1,0.0121000,105,877
