VALUE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MAJORITY_COUNT,MAJORITY_PERCENT,MINORITY,MINORITY_COUNT,MINORITY_PERCENT,MEDIAN,PCT90
2171,1026.000000000000000,0.071249999999999,25,13700,13675,608.419103313840537,1176.442401878310193,624238.000000000000000,329,202,79,7.6998000,25,1,0.0975000,259,1141
2172,1409.000000000000000,0.097847222222221,0,25065,25065,903.418736692689890,2080.402414897202107,1272917.000000000000000,434,182,116,8.2327995,34,1,0.0710000,325,2011
2173,1375.000000000000000,0.095486111111110,10,38105,38095,2483.579636363631380,5164.146505564188374,3414922.000000000000000,723,182,37,2.6909001,10,1,0.0727000,492,8800
2174,913.000000000000000,0.063402777777777,0,11980,11980,501.623220153340355,1135.808178999749998,457982.000000000000000,319,153,85,9.3100004,4,1,0.1095000,229,757
2175,1696.000000000000000,0.117777777777777,0,24852,24852,694.767099056602774,1567.298432204937171,1178325.000000000000000,574,153,127,7.4882002,11,1,0.0590000,305,1321
2176,1030.000000000000000,0.071527777777777,10,39526,39516,2111.499029126208825,5075.291837177771413,2174844.000000000000000,652,70,40,3.8835001,16,1,0.0971000,556,3937
2177,908.000000000000000,0.063055555555555,0,6083,6083,659.919603524229501,842.176371607060105,599207.000000000000000,499,70,35,3.8546000,8,1,0.1101000,333,1689
2178,777.000000000000000,0.053958333333333,4,7378,7374,496.384813384813413,715.682316965415566,385691.000000000000000,391,70,27,3.4749000,4,1,0.1287000,262,1089
2179,1865.000000000000000,0.129513888888888,0,42686,42686,1227.393029490616300,2123.009730745832712,2289088.000000000000000,711,386,89,4.7721000,11,1,0.0536000,772,1764
2180,1921.000000000000000,0.133402777777777,0,42942,42942,958.964601769912292,2150.809218993760624,1842171.000000000000000,644,386,122,6.3509002,0,1,0.0521000,386,1734
2181,3555.000000000000000,0.246874999999998,5,32040,32035,576.740365682137735,1467.688972381578196,2050312.000000000000000,820,209,125,3.5162001,62,1,0.0281000,230,1235
2182,2187.000000000000000,0.151874999999999,10,13979,13969,475.162780064014214,1044.632079733076580,1039181.000000000000000,474,93,122,5.5784001,10,1,0.0457000,186,1236
2183,4437.000000000000000,0.308124999999998,0,11109,11109,356.866801893170816,772.445405807931138,1583418.000000000000000,836,419,100,2.2537999,2,1,0.0225000,144,744
2184,3532.000000000000000,0.245277777777776,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,1,0,3532,100.0000000,0,3532,100.0000000,0,0
2185,2951.000000000000000,0.204930555555554,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,1,0,2951,100.0000000,0,2951,100.0000000,0,0
2186,1286.000000000000000,0.089305555555555,13,38331,38318,3299.915241057542517,6063.706507144867828,4243691.000000000000000,736,176,48,3.7325001,13,1,0.0778000,528,11154
2187,1128.000000000000000,0.078333333333333,0,21021,21021,549.391843971631147,1160.548766169212740,619714.000000000000000,383,176,67,5.9397001,30,1,0.0887000,262,1055
2188,915.000000000000000,0.063541666666666,0,7561,7561,535.284153005465214,801.291977320546607,489785.000000000000000,394,88,49,5.3551998,18,1,0.1093000,258,1275
2189,2348.000000000000000,0.163055555555554,0,29363,29363,851.822827938671708,1620.648599876905564,2000080.000000000000000,770,277,158,6.7291002,5,1,0.0426000,498,1538
2190,1836.000000000000000,0.127499999999999,0,29736,29736,744.163398692810688,1697.917476679768924,1366284.000000000000000,583,277,64,3.4858000,14,1,0.0545000,368,1246
2191,855.000000000000000,0.059375000000000,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,1,0,855,100.0000000,0,855,100.0000000,0,0
2192,1556.000000000000000,0.108055555555555,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,1,0,1556,100.0000000,0,1556,100.0000000,0,0
2193,1252.000000000000000,0.086944444444444,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,1,0,1252,100.0000000,0,1252,100.0000000,0,0
2194,1544.000000000000000,0.107222222222221,18,11560,11542,544.737694300517433,1017.422026893028601,841075.000000000000000,420,656,86,5.5699000,18,1,0.0648000,264,816
