country,plant_name,daily_prod,cap_mw,start_year,latitude,longitude,status,coal_type,location,heat_rate,emi_factor
South Africa,Kusile power station,,800,2024,-25.9200701,28.924942,construction,bituminous,,8409,94600
South Africa,Lethabo power station,,618,1985,-26.7420315,27.9768917,operating,bituminous,Fezile Dabi,10878,94600
South Africa,Lethabo power station,,618,1986,-26.7420315,27.9768917,operating,bituminous,Fezile Dabi,10878,94600
South Africa,Lethabo power station,,618,1987,-26.7420315,27.9768917,operating,bituminous,Fezile Dabi,10878,94600
South Africa,Lethabo power station,,618,1987,-26.7420315,27.9768917,operating,bituminous,Fezile Dabi,10878,94600
South Africa,Lethabo power station,,618,1989,-26.7420315,27.9768917,operating,bituminous,Fezile Dabi,10878,94600
South Africa,Lethabo power station,,618,1990,-26.7420315,27.9768917,operating,bituminous,Fezile Dabi,10878,94600
South Africa,Majuba power station,,665,1996,-27.1006097,29.7709633,operating,bituminous,Gert Sibande,10442,94600
South Africa,Majuba power station,,665,1997,-27.1006097,29.7709633,operating,bituminous,Gert Sibande,10442,94600
South Africa,Majuba power station,,665,1998,-27.1006097,29.7709633,operating,bituminous,Gert Sibande,10442,94600
South Africa,Majuba power station,,716,1999,-27.1006097,29.7709633,operating,bituminous,Gert Sibande,10442,94600
South Africa,Majuba power station,,716,2000,-27.1006097,29.7709633,operating,bituminous,Gert Sibande,10442,94600
South Africa,Majuba power station,,716,2001,-27.1006097,29.7709633,operating,bituminous,Gert Sibande,10442,94600
South Africa,Matimba power station,,665,1987,-23.6688333,27.610838,operating,bituminous,Waterberg,10878,94600
South Africa,Matimba power station,,665,1987,-23.6688333,27.610838,operating,bituminous,Waterberg,10878,94600
South Africa,Matimba power station,,665,1988,-23.6688333,27.610838,operating,bituminous,Waterberg,10878,94600
South Africa,Matimba power station,,665,1989,-23.6688333,27.610838,operating,bituminous,Waterberg,10878,94600
South Africa,Matimba power station,,665,1990,-23.6688333,27.610838,operating,bituminous,Waterberg,10878,94600
South Africa,Matimba power station,,665,1991,-23.6688333,27.610838,operating,bituminous,Waterberg,10878,94600
South Africa,Matla power station,,600,1979,-26.2813319,29.1415062,operating,bituminous,Nkangala,10878,94600
South Africa,Matla power station,,600,1980,-26.2813319,29.1415062,operating,bituminous,Nkangala,10878,94600
South Africa,Matla power station,,600,1980,-26.2813319,29.1415062,operating,bituminous,Nkangala,10878,94600
South Africa,Matla power station,,600,1981,-26.2813319,29.1415062,operating,bituminous,Nkangala,10878,94600
South Africa,Matla power station,,600,1982,-26.2813319,29.1415062,operating,bituminous,Nkangala,10878,94600
South Africa,Matla power station,,600,1983,-26.2813319,29.1415062,operating,bituminous,Nkangala,10878,94600
South Africa,Medupi power station,,794.8,2021,-23.7049731,27.563839,operating,bituminous,,8409,94600
South Africa,Medupi power station,,794.8,2019,-23.7049731,27.563839,operating,bituminous,,8409,94600
South Africa,Medupi power station,,794.8,2019,-23.7049731,27.563839,operating,bituminous,,8409,94600
South Africa,Medupi power station,,794.8,2017,-23.7049731,27.563839,operating,bituminous,,8409,94600
South Africa,Medupi power station,,794.8,2017,-23.7049731,27.563839,operating,bituminous,,8409,94600
South Africa,Medupi power station,,794.8,2015,-23.7049731,27.563839,operating,bituminous,,8409,94600
South Africa,Musina-Makhado power station,,1320,,-24.075,28.141667,permitted,bituminous,Waterberg District,8605,94600
South Africa,Richards Bay Mill power station,,38,1984,-28.76208,31.99352,operating,unknown,,12618,96100
South Africa,Richards Bay Mill power station,,34.3,1984,-28.76208,31.99352,operating,unknown,,12618,96100
South Africa,Transalloy power station,,135,,-25.8934982,29.1175605,permitted,unknown,Nkangala District,10442,96100
South Africa,Tutuka power station,,609,1985,-26.7771561,29.3523764,operating,bituminous,Gert Sibande,10878,94600
South Africa,Tutuka power station,,609,1985,-26.7771561,29.3523764,operating,bituminous,Gert Sibande,10878,94600
South Africa,Tutuka power station,,609,1986,-26.7771561,29.3523764,operating,bituminous,Gert Sibande,10878,94600
South Africa,Tutuka power station,,609,1987,-26.7771561,29.3523764,operating,bituminous,Gert Sibande,10878,94600
South Africa,Tutuka power station,,609,1988,-26.7771561,29.3523764,operating,bituminous,Gert Sibande,10878,94600
South Africa,Tutuka power station,,609,1990,-26.7771561,29.3523764,operating,bituminous,Gert Sibande,10878,94600
Tanzania,Mchuchuma power station,,150,2026,-9.25,34.25,pre-permit,unknown,Njombe region,10326,96100
Tanzania,Mchuchuma power station,,150,2026,-9.25,34.25,pre-permit,unknown,Njombe region,10326,96100
Tanzania,Mchuchuma power station,,150,2026,-9.25,34.25,pre-permit,unknown,Njombe region,10326,96100
